VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Nitrate    ,F,O,Chlorophyl ,F,O,Pressure   ,F,O,,,,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,ug/l      ,, , ,dbar      ,, , 
7,3.5,0,1,28.41,0,1,34.624,0,1,   ---0---,0,0,   ---0---,0,1,3.5,0,1,,,,,
8,3.6,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,3.6,0,1,,,,,
9,3.8,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,3.8,0,1,,,,,
10,3.9,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,3.9,0,1,,,,,
11,4,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0657,0,1,4,0,1,,,,,
12,4.1,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,4.1,0,1,,,,,
13,4.2,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,4.2,0,1,,,,,
14,4.4,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,4.4,0,1,,,,,
15,4.5,0,1,28.41,0,1,34.624,0,1,   ---0---,0,0,   ---0---,0,1,4.5,0,1,,,,,
16,4.6,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,4.6,0,1,,,,,
17,4.7,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0657,0,1,4.7,0,1,,,,,
18,4.9,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0511,0,1,4.9,0,1,,,,,
19,5,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,5,0,1,,,,,
20,5.2,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0657,0,1,5.2,0,1,,,,,
21,5.3,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0657,0,1,5.3,0,1,,,,,
22,5.4,0,1,28.41,0,1,34.624,0,1,   ---0---,0,0,0.0584,0,1,5.4,0,1,,,,,
23,5.7,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0511,0,1,5.7,0,1,,,,,
24,5.9,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,5.9,0,1,,,,,
25,6,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,6,0,1,,,,,
26,6.1,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,6.1,0,1,,,,,
27,6.2,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0511,0,1,6.2,0,1,,,,,
28,6.4,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,6.4,0,1,,,,,
29,6.5,0,1,28.41,0,1,34.623,0,1,   ---0---,0,0,   ---0---,0,1,6.5,0,1,,,,,
30,6.6,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,0,0.0584,0,1,6.6,0,1,,,,,
