CAST                        ,,18892344,WOD Unique Cast Number,WOD code,,,,,,,,,,,,,,,
38,7.8,0,1,   ---0---,0,1,   ---0---,0,1,0.0803,0,1,7.9,0,1,,,,
39,7.9,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,8,0,1,,,,
40,8,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,8.1,0,1,,,,
41,8.1,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,8.2,0,1,,,,
42,8.3,0,1,28.44,0,1,34.606,0,1,0.073,0,1,8.4,0,1,,,,
43,8.4,0,1,   ---0---,0,1,   ---0---,0,1,0.0803,0,1,8.5,0,1,,,,
44,8.8,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,8.9,0,1,,,,
45,9,0,1,   ---0---,0,1,   ---0---,0,1,0.073,0,1,9.1,0,1,,,,
46,9.1,0,1,   ---0---,0,1,   ---0---,0,1,0.0803,0,1,9.2,0,1,,,,
47,9.2,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,9.3,0,1,,,,
48,9.3,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,9.4,0,1,,,,
49,9.4,0,1,28.23,0,1,34.598,0,1,   ---0---,0,1,9.5,0,1,,,,
50,9.5,0,1,   ---0---,0,1,   ---0---,0,1,0.073,0,1,9.6,0,1,,,,
51,9.6,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,9.7,0,1,,,,
52,10.1,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,10.2,0,1,,,,
