pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,3278,318,29.1717663,130.9343428,0.09608143,0.011705523
2,3279,318,29.17122382,130.9370485,0.096026056,0.011196318
3,3280,318,29.17068134,130.9397542,0.091759495,0.009367893
4,3281,318,29.17013887,130.9424599,0.094122484,0.011009588
5,3282,318,29.16959639,130.9451656,0.09547812,0.013065676
6,3283,318,29.16905391,130.9478713,0.10368117,0.011864466
7,3284,318,29.16851143,130.950577,0.1096269,0.011565015
8,3285,318,29.16796896,130.9532826,0.1184311,0.007833516
9,3286,318,29.16742648,130.9559883,0.12581934,0.0086224
10,3287,318,29.166884,130.958694,0.13315743,0.0095262
11,3288,318,29.16634153,130.9613997,0.14097795,0.011532977
12,3289,318,29.16579905,130.9641054,0.14491546,0.010425423
13,3290,318,29.16525657,130.9668111,0.14565963,0.012565578
14,3291,318,29.16471409,130.9695168,0.14311317,0.016058097
15,3292,318,29.16417162,130.9722225,0.14487785,0.016436743
16,3293,318,29.16362914,130.9749281,0.14413369,0.014820702
17,3294,318,29.16308666,130.9776338,0.14423415,0.008871633
18,3295,318,29.16254419,130.9803395,0.14009067,0.005534741
19,3296,318,29.16200171,130.9830452,0.13296305,0.013408552
20,3297,318,29.16145923,130.9857509,0.124271214,0.01398815
21,3298,318,29.16091675,130.9884566,0.117604755,0.009775529
22,3299,318,29.16037428,130.9911623,0.11023639,0.012997979
23,3300,318,29.1598318,130.993868,0.103393875,0.013010726
24,3301,318,29.15928932,130.9965736,0.09610635,0.007233643
25,3302,318,29.15874685,130.9992793,0.09093136,0.007972545
26,3303,318,29.15820437,131.001985,0.08812439,0.00875005
