pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,3193,379,29.06143351,130.6642166,0.07337573,0.005645808
2,3193,378,29.06402171,130.6648813,0.073365375,0.005502897
3,3193,377,29.06661066,130.6655507,0.07295833,0.003476079
4,3193,376,29.06920035,130.6662142,0.07324906,0.003386807
5,3193,375,29.07178915,130.6668777,0.07295795,0.003449286
6,3193,374,29.07437668,130.667548,0.07160421,0.005178331
7,3193,373,29.07696504,130.6682128,0.07160421,0.005178331
8,3193,372,29.07955383,130.6688765,0.07340344,0.00592296
9,3193,371,29.08214329,130.6695465,0.07631188,0.004634185
10,3193,370,29.08473232,130.6702088,0.07785342,0.004462977
11,3193,369,29.08731993,130.6708727,0.077540815,0.004470999
12,3193,368,29.08990889,130.6715451,0.080587834,0.007595044
13,3193,367,29.09249859,130.6722075,0.08259558,0.008094159
14,3193,366,29.09508679,130.6728699,0.08851627,0.009256717
15,3193,365,29.09767508,130.67354,0.09146174,0.010045484
16,3193,364,29.10026403,130.674204,0.09578397,0.008033926
17,3193,363,29.10285224,130.6748686,0.097996235,0.006291094
18,3193,362,29.10544052,130.6755386,0.09493897,0.006978018
19,3193,361,29.10802947,130.6762087,0.09238873,0.008015368
20,3193,360,29.11061859,130.6768724,0.09020569,0.008278428
21,3193,359,29.11320837,130.6775371,0.09522683,0.010455265
22,3193,358,29.11579807,130.6782081,0.09741568,0.009159095
23,3193,357,29.11838568,130.6788716,0.10306798,0.009752777
24,3193,356,29.1209733,130.6795352,0.1056288,0.010395877
25,3193,355,29.12356294,130.6802047,0.11202737,0.00880339
26,3193,354,29.12615181,130.6808759,0.111578144,0.008820157
27,3193,353,29.12873959,130.6815404,0.115178995,0.008240008
28,3192,352,29.13186383,130.6794969,0.1140302,0.011313038
29,3192,351,29.13445269,130.6801669,0.11542826,0.01145822
30,3192,350,29.13704107,130.680838,0.1091719,0.011948996
31,3192,349,29.13962945,130.6815016,0.10419941,0.008568246
32,3192,348,29.14221783,130.6821639,0.10036627,0.006173391
33,3192,347,29.14480613,130.6828338,0.09883239,0.007065762
34,3192,346,29.14739442,130.6835039,0.09886162,0.007522488
35,3192,345,29.1499828,130.6841686,0.097305804,0.007830652
36,3192,344,29.15257109,130.6848332,0.099228255,0.007246964
37,3192,343,29.15515946,130.6855031,0.09617099,0.008373067
38,3192,342,29.15774783,130.6861731,0.09509778,0.009261336
39,3192,341,29.16033688,130.6868378,0.08934491,0.006144145
40,3192,340,29.16292601,130.6875024,0.08180254,0.012339882
41,3192,339,29.16551438,130.6881724,0.07544012,0.011518006
42,3192,338,29.16810342,130.6888424,0.06954945,0.007717574
43,3192,337,29.17069254,130.6895134,0.06717055,0.008557615
44,3192,336,29.17328101,130.690178,0.06539085,0.006533017
45,3192,335,29.17586948,130.6908416,0.06485549,0.006309805
46,3192,334,29.17845851,130.6915116,0.06664436,0.005547304
47,3192,333,29.18104764,130.6921825,0.06489894,0.006713142
48,3192,332,29.18363611,130.6928535,0.06196652,0.005002053
49,3192,331,29.18622457,130.693516,0.059935126,0.003892928
50,3192,330,29.18881295,130.6941785,0.060375024,0.002955393
51,3192,329,29.19140199,130.6948494,0.059437945,0.003468602
52,3192,328,29.1939912,130.6955205,0.05827654,0.003879732
53,3192,327,29.19657974,130.6961907,0.05803337,0.003696279
54,3192,326,29.19916822,130.6968542,0.057380512,0.004360106
