pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,3051,362,29.18106638,130.2910437,0.05804973,0.003956103
2,3051,361,29.18365576,130.2916988,0.059637856,0.002623776
3,3051,360,29.18624541,130.2923589,0.06304511,0.006145637
4,3051,359,29.18883455,130.2930177,0.062776044,0.005980456
5,3051,358,29.1914245,130.2936723,0.06437463,0.006627188
6,3051,357,29.19401364,130.2943289,0.0621979,0.004681453
7,3051,356,29.19660305,130.2949856,0.06451793,0.00505913
8,3051,355,29.19919252,130.2956422,0.06568889,0.00276265
9,3051,354,29.20178065,130.2963042,0.06672266,0.001700489
10,3051,353,29.20436929,130.2969646,0.06786488,0.003489044
11,3051,352,29.20695876,130.2976203,0.07362058,0.008693697
12,3051,351,29.20954772,130.298277,0.0780215,0.006976296
13,3051,350,29.21213645,130.2989301,0.084454305,0.00596142
14,3051,349,29.21472592,130.299589,0.08960299,0.009430715
15,3051,348,29.21731432,130.3002505,0.09638649,0.005524993
16,3051,347,29.21990247,130.3009067,0.09609137,0.006968893
17,3051,346,29.22249171,130.3015629,0.093424685,0.006978046
18,3051,345,29.22508094,130.3022188,0.093410335,0.006735443
19,3051,344,29.22767073,130.3028804,0.09355884,0.008723817
20,3051,343,29.23025919,130.3035419,0.09411575,0.010762501
21,3051,342,29.23284792,130.3041981,0.088820666,0.012454252
22,3051,341,29.23543849,130.3048544,0.09085531,0.011233468
23,3051,340,29.23802772,130.3055102,0.08715614,0.009733839
24,3051,339,29.2406162,130.3061718,0.09286903,0.009256838
25,3051,338,29.24320544,130.3068329,0.0885524,0.009851689
26,3051,337,29.24579523,130.3074868,0.09322229,0.009132206
27,3051,336,29.24838429,130.3081411,0.09405844,0.010135372
28,3051,335,29.25097328,130.3087957,0.094755486,0.009504982
29,3051,334,29.25356284,130.3094569,0.09050913,0.011439516
30,3051,333,29.25615189,130.3101193,0.08444498,0.005905514
31,3051,332,29.25874145,130.3107759,0.08582801,0.006132595
32,3051,331,29.26133101,130.3114313,0.08491249,0.007574532
33,3051,330,29.26391976,130.3120916,0.07830148,0.012418366
34,3051,329,29.26650858,130.3127532,0.06900643,0.010882886
35,3051,328,29.26909846,130.3134098,0.06439334,0.003067659
36,3051,327,29.27168778,130.314066,0.064383715,0.002819395
37,3051,326,29.27427636,130.3147272,0.06538995,0.001584584
38,3051,325,29.27686544,130.3153887,0.06433727,0.001173422
39,3051,324,29.27945426,130.3160454,0.06462658,0.00239792
