pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2945,377,29.19798775,129.9939417,0.054579142,0.002400602
2,2944,377,29.19851233,129.9912312,0.05502222,0.002443716
3,2943,377,29.19903516,129.9885196,0.05704537,0.002287259
4,2942,377,29.19955624,129.985807,0.059664425,0.003253127
5,2941,377,29.20007733,129.9830943,0.060132504,0.002960322
6,2940,377,29.20059841,129.9803817,0.06164203,0.003776168
7,2939,377,29.20111949,129.9776691,0.06141842,0.004228442
8,2938,377,29.20164058,129.9749565,0.06445873,0.004332712
9,2937,377,29.20216166,129.9722438,0.06577389,0.004452995
10,2936,377,29.20268274,129.9695312,0.07139126,0.006357614
11,2935,377,29.20320383,129.9668186,0.07459313,0.006028309
12,2934,377,29.20372491,129.964106,0.082252234,0.011724545
13,2933,377,29.20424599,129.9613933,0.08601602,0.012091296
14,2932,378,29.20217787,129.9580278,0.088285774,0.010600386
15,2931,378,29.20269896,129.9553154,0.085583776,0.007352855
16,2930,378,29.20322004,129.9526031,0.07781649,0.011096996
17,2929,378,29.20374112,129.9498907,0.0704374,0.008466451
18,2928,378,29.20426221,129.9471783,0.06608607,0.005272192
19,2927,378,29.20478329,129.9444659,0.06593892,0.006700659
20,2926,378,29.20530437,129.9417535,0.06592067,0.00651746
21,2925,378,29.20582546,129.9390411,0.06434543,0.006480311
22,2924,378,29.20634654,129.9363287,0.062470805,0.005348121
23,2923,378,29.20686762,129.9336164,0.06193336,0.004611326
24,2922,378,29.20738871,129.930904,0.06347076,0.004964732
25,2921,378,29.20790979,129.9281916,0.062534906,0.005911281
26,2920,378,29.20843087,129.9254792,0.061686866,0.00452305
