pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2984,231,29.55557452,130.1951369,0.074523374,0.005170519
2,2985,231,29.55504951,130.1978575,0.07180538,0.003751706
3,2986,231,29.55452451,130.2005781,0.0712124,0.00331671
4,2987,231,29.55399951,130.2032987,0.0736858,0.009321275
5,2988,231,29.55347451,130.2060193,0.07546395,0.009135299
6,2989,231,29.5529495,130.2087399,0.07818195,0.008587121
7,2990,231,29.5524245,130.2114605,0.07570855,0.004782761
8,2991,231,29.5518995,130.2141811,0.07481411,0.005009773
9,2992,231,29.55137449,130.2169017,0.07294759,0.003208514
10,2993,231,29.55084949,130.2196223,0.07540547,0.004746576
11,2994,231,29.55032449,130.2223429,0.07662405,0.004693944
12,2995,231,29.54979948,130.2250634,0.07785299,0.004436675
13,2996,231,29.54927448,130.227784,0.07815445,0.004187202
14,2997,231,29.54874948,130.2305046,0.079755425,0.004550387
15,2998,231,29.54822447,130.2332252,0.08169087,0.004325138
16,2999,231,29.54769947,130.2359458,0.08515769,0.006472854
17,3000,231,29.54717447,130.2386664,0.086466655,0.0053493
18,3001,231,29.54664946,130.241387,0.09077087,0.00594096
19,3002,231,29.54612446,130.2441076,0.09188371,0.006170851
20,3003,231,29.54559946,130.2468282,0.09366494,0.004558154
21,3004,231,29.54507445,130.2495488,0.091803126,0.004622742
22,3005,231,29.54454945,130.2522693,0.090663105,0.003541678
23,3006,231,29.54402445,130.2549899,0.092649065,0.006612807
24,3007,231,29.54349944,130.2577105,0.092622854,0.006213196
25,3008,231,29.54297266,130.2604303,0.09605382,0.006505698
26,3009,231,29.54244409,130.2631492,0.0940812,0.005386482
27,3010,231,29.54191552,130.2658682,0.09488604,0.006197023
28,3011,231,29.54138695,130.2685871,0.09142887,0.004524615
29,3012,231,29.54085838,130.271306,0.0900587,0.006136979
30,3013,231,29.54032981,130.274025,0.088905334,0.004641628
31,3014,231,29.53980124,130.2767439,0.08647673,0.005434388
32,3015,231,29.53927267,130.2794628,0.08441922,0.005434663
33,3016,232,29.53615426,130.2815243,0.084070235,0.005242821
34,3017,232,29.5356257,130.2842431,0.085440405,0.005362695
35,3018,232,29.53509714,130.2869619,0.087085925,0.003500345
36,3019,232,29.53456858,130.2896807,0.0929251,0.010505079
37,3020,232,29.53404003,130.2923996,0.09131821,0.012485286
38,3021,232,29.53351147,130.2951184,0.09115153,0.01397255
39,3022,232,29.53298291,130.2978372,0.08569996,0.009098809
40,3023,232,29.53245436,130.3005561,0.08560057,0.007989083
41,3024,232,29.5319258,130.3032749,0.08541873,0.005082939
42,3025,232,29.53139724,130.3059937,0.08731267,0.007825173
43,3026,232,29.53086868,130.3087125,0.08946956,0.008121292
44,3027,232,29.53034013,130.3114314,0.090604804,0.008656627
45,3028,232,29.52981157,130.3141502,0.08762622,0.007037485
46,3029,232,29.52928301,130.316869,0.085492834,0.006313085
47,3030,232,29.52875446,130.3195879,0.08438197,0.004727274
48,3031,232,29.5282259,130.3223067,0.085776515,0.005206951
49,3032,232,29.52769734,130.3250255,0.08550034,0.006278503
50,3033,232,29.52716879,130.3277444,0.081903994,0.007577542
51,3034,232,29.52664023,130.3304632,0.079536594,0.006270055
52,3035,232,29.52611167,130.333182,0.07546158,0.005695962
53,3036,232,29.52558311,130.3359008,0.075493805,0.0061354
54,3037,232,29.52505456,130.3386197,0.07301242,0.004608749
55,3038,232,29.524526,130.3413385,0.074521735,0.005085254
56,3039,232,29.52399744,130.3440573,0.07713921,0.007882427
57,3040,232,29.52346889,130.3467762,0.07805555,0.007667651
58,3041,232,29.52294033,130.349495,0.078926936,0.006780152
59,3042,232,29.52241177,130.3522138,0.07509206,0.004523496
60,3043,232,29.52188321,130.3549327,0.07339231,0.005753432
61,3044,232,29.52135466,130.3576515,0.069726415,0.006529274
62,3045,232,29.5208261,130.3603703,0.06857347,0.006019931
63,3046,232,29.52029754,130.3630891,0.0670798,0.003970712
64,3047,232,29.51976899,130.365808,0.067283064,0.002450212
