pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2932,386,29.18145967,129.9528456,0.06412261,0.002742242
2,2932,385,29.18404893,129.9534926,0.06387147,0.002925884
3,2932,384,29.18663903,129.9541411,0.06291866,0.004203106
4,2932,383,29.18922974,129.9547897,0.06213637,0.003713779
5,2932,382,29.19182016,129.9554369,0.06403981,0.005739315
6,2932,381,29.19440929,129.9560839,0.06905781,0.005150591
7,2932,380,29.19699871,129.9567324,0.07694713,0.009031246
8,2932,379,29.19958867,129.9573809,0.08149706,0.010037351
9,2932,378,29.20217787,129.9580278,0.088285774,0.010600386
10,2932,377,29.20476708,129.9586807,0.09040541,0.01028028
11,2932,376,29.20735676,129.9593292,0.08889402,0.009831165
12,2932,375,29.20994672,129.9599779,0.08270062,0.009163973
13,2932,374,29.21253668,129.9606251,0.07409538,0.007229326
14,2932,373,29.21512651,129.9612735,0.067166485,0.00845567
15,2932,372,29.21771587,129.961922,0.06277506,0.005946403
16,2932,371,29.22030522,129.9625699,0.06352555,0.005681998
17,2932,370,29.22289457,129.9632169,0.06831994,0.006226775
18,2932,369,29.22548318,129.9638654,0.068805635,0.005468536
19,2932,368,29.2280724,129.9645139,0.06446776,0.007738432
20,2932,367,29.23066305,129.965161,0.059647143,0.002880063
