pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2925,316,29.36637602,129.9792901,0.064479016,0.004705656
2,2925,315,29.36896576,129.9799388,0.06660504,0.004969286
3,2925,314,29.37155608,129.9805876,0.06635356,0.005195072
4,2925,313,29.37414543,129.9812398,0.06603602,0.004442492
5,2925,312,29.3767339,129.9818877,0.065998174,0.003781966
6,2925,311,29.37932289,129.9825353,0.06652004,0.003557502
7,2925,310,29.38191277,129.9831881,0.068497136,0.005057956
8,2925,309,29.38450234,129.9838366,0.07044307,0.004962713
9,2925,308,29.38709088,129.9844838,0.07044307,0.004962713
10,2925,307,29.38967994,129.9851382,0.07018934,0.00529248
11,2925,306,29.39226961,129.9857871,0.07082608,0.006344616
12,2925,305,29.3948592,129.9864334,0.071948685,0.006019792
13,2925,304,29.39744848,129.9870875,0.07156801,0.004769957
14,2925,303,29.40003733,129.9877356,0.07317844,0.007121612
15,2925,302,29.40262671,129.9883842,0.07560562,0.007564517
16,2925,301,29.40521577,129.9890381,0.08052541,0.006383286
17,2925,300,29.40780543,129.9896917,0.08309317,0.005643851
18,2925,299,29.41039562,129.9903406,0.08076781,0.008932158
19,2925,298,29.41298472,129.9909867,0.08081747,0.009474385
20,2925,297,29.41557357,129.9916406,0.0811798,0.009869944
21,2925,296,29.41816301,129.9922903,0.08616683,0.006100493
22,2925,295,29.42075217,129.9929384,0.088984944,0.006178748
23,2925,294,29.42334095,129.9935917,0.09012206,0.007035855
24,2925,293,29.42593138,129.9942388,0.09313476,0.008262945
25,2925,292,29.42852136,129.9948877,0.09064079,0.009290961
26,2925,291,29.43111133,129.9955413,0.09104371,0.009728258
27,2925,290,29.43370123,129.9961954,0.08663376,0.007902955
28,2925,289,29.43629039,129.9968438,0.085447684,0.009743406
29,2925,288,29.43888068,129.9974927,0.08151403,0.006634272
30,2925,287,29.44147058,129.9981463,0.08117792,0.006514309
31,2925,286,29.44406006,129.9987975,0.07682997,0.007449345
32,2925,285,29.446649,129.9994458,0.07345414,0.006785002
33,2925,284,29.44923838,130.0000933,0.06816451,0.003992192
34,2925,283,29.4518289,130.0007475,0.06786415,0.003440655
35,2925,282,29.45441922,130.0013968,0.06730303,0.003020379
36,2925,281,29.45700816,130.0020447,0.06962388,0.005427557
37,2925,280,29.45959732,130.0026983,0.069953136,0.006033695
