pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2959,173,29.71887765,130.1650732,0.077241465,0.004783417
2,2960,173,29.71835249,130.1677978,0.07533903,0.003331391
3,2961,173,29.71782732,130.1705224,0.076288365,0.004122293
4,2962,173,29.71730216,130.1732471,0.078919984,0.006485278
5,2963,173,29.716777,130.1759717,0.082817785,0.006549094
6,2964,173,29.71625184,130.1786964,0.08308584,0.005669661
7,2965,173,29.71572668,130.181421,0.08076724,0.005462403
8,2966,173,29.71520152,130.1841457,0.077160165,0.00280205
9,2967,173,29.71467636,130.1868703,0.07624463,0.003124259
10,2968,173,29.7141512,130.1895949,0.07414312,0.003494646
11,2969,173,29.71362604,130.1923196,0.07417653,0.004255743
12,2970,173,29.71310087,130.1950442,0.07848249,0.008863523
13,2971,173,29.71257571,130.1977689,0.08190537,0.007631415
14,2972,173,29.71205055,130.2004935,0.085541174,0.006968882
15,2973,173,29.71152539,130.2032182,0.08621246,0.006656327
16,2974,173,29.71100023,130.2059428,0.0904407,0.006257958
17,2975,173,29.71047507,130.2086674,0.094414406,0.004365428
18,2976,173,29.70994991,130.2113921,0.09911012,0.004995959
19,2977,173,29.70942475,130.2141167,0.103157416,0.004517324
20,2978,173,29.70889959,130.2168414,0.10735417,0.003442551
21,2979,173,29.70837442,130.219566,0.109686315,0.007179363
22,2980,173,29.70784926,130.2222907,0.10841748,0.007941126
23,2981,173,29.7073241,130.2250153,0.10718123,0.008914179
24,2982,173,29.70679894,130.2277399,0.11034912,0.010421621
25,2983,173,29.70627378,130.2304646,0.11129111,0.010889525
26,2984,173,29.70574862,130.2331892,0.11435746,0.009561633
27,2985,173,29.70522346,130.2359139,0.112422206,0.007778939
28,2986,173,29.7046983,130.2386385,0.1154628,0.00474521
29,2987,173,29.70417313,130.2413632,0.115979604,0.005987622
30,2988,173,29.70364797,130.2440878,0.11742929,0.00683976
31,2989,173,29.70312281,130.2468124,0.11537593,0.010800658
32,2990,173,29.70259765,130.2495371,0.11630881,0.010826039
33,2991,173,29.70207249,130.2522617,0.10738815,0.015060077
34,2992,173,29.70154733,130.2549864,0.10587674,0.012979307
35,2993,173,29.70102217,130.257711,0.0989026,0.008042769
36,2994,173,29.70049701,130.2604357,0.10040402,0.006620166
37,2995,173,29.69997185,130.2631603,0.09592791,0.009587502
38,2996,173,29.69944668,130.2658849,0.09502258,0.007838623
39,2997,173,29.69892152,130.2686096,0.09425826,0.007783426
40,2998,173,29.69839636,130.2713342,0.095912844,0.003390058
41,2999,173,29.6978712,130.2740589,0.09225554,0.006090055
42,3000,173,29.69734604,130.2767835,0.087315485,0.007588807
43,3001,173,29.69682088,130.2795081,0.08595916,0.008082235
44,3002,173,29.69629572,130.2822328,0.08700518,0.008103199
45,3003,173,29.69577056,130.2849574,0.08981176,0.007715866
46,3004,173,29.6952454,130.2876821,0.09129274,0.008230337
47,3005,173,29.69472023,130.2904067,0.09322229,0.009132206
48,3006,173,29.69419507,130.2931313,0.09461867,0.00783984
49,3007,173,29.69366991,130.295856,0.08920641,0.009106875
50,3008,173,29.69314297,130.2985796,0.083273746,0.00835383
51,3009,173,29.69261424,130.3013024,0.07729109,0.005403688
52,3010,173,29.69208551,130.3040251,0.07606215,0.005476783
53,3011,173,29.69155679,130.3067478,0.075726874,0.004974744
