pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2817,293,29.48200564,129.7005665,0.060868375,0.003041987
2,2817,294,29.47941586,129.6999274,0.062127415,0.003545879
3,2817,295,29.47682681,129.6992858,0.06520625,0.003795526
4,2817,296,29.47423778,129.6986442,0.067360476,0.004168272
5,2817,297,29.47164877,129.6979955,0.06814311,0.003492915
6,2817,298,29.46905894,129.6973469,0.0681235,0.003046203
7,2817,299,29.46646918,129.6967065,0.06840387,0.003181274
8,2817,300,29.46388098,129.696066,0.070027635,0.001757883
9,2817,301,29.46129122,129.6954243,0.07233391,0.00234721
10,2817,302,29.45870074,129.6947827,0.07177316,0.002934064
11,2816,303,29.45662797,129.6914232,0.076042704,0.009214997
12,2816,304,29.45403822,129.6907817,0.072664134,0.01084696
13,2816,305,29.4514492,129.6901328,0.07531486,0.010638346
14,2816,306,29.44886018,129.6894853,0.071637124,0.005709289
15,2816,307,29.44627044,129.6888451,0.07413276,0.003261464
16,2816,308,29.44368078,129.6882035,0.07014933,0.004686128
17,2816,309,29.44109185,129.687562,0.06489278,0.006720265
18,2816,310,29.4385021,129.6869205,0.06137198,0.003316288
19,2816,311,29.43591245,129.6862801,0.059465095,0.003993642
20,2816,312,29.43332278,129.685641,0.059959095,0.004213035
21,2816,313,29.43073229,129.6849923,0.06020162,0.004220797
