pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2834,252,29.57938586,129.7732255,0.06683004,0.004368695
2,2834,253,29.57679605,129.7725817,0.066801146,0.003852994
3,2834,254,29.57420624,129.7719378,0.065167025,0.002881622
4,2834,255,29.57161682,129.7712985,0.06567927,0.002489732
5,2834,256,29.56902732,129.7706506,0.06661296,0.005325891
6,2834,257,29.56643783,129.7700011,0.06851747,0.005368593
7,2834,258,29.56384809,129.7693579,0.07165714,0.005964546
8,2834,259,29.56125912,129.7687154,0.072146796,0.004673764
9,2834,260,29.55867047,129.7680715,0.0745609,0.00557459
10,2834,261,29.5560797,129.767428,0.0745609,0.00557459
11,2834,262,29.55348915,129.7667818,0.075124286,0.005068329
12,2834,263,29.55089944,129.7661339,0.071678236,0.006247269
13,2834,264,29.54831026,129.7654921,0.06962049,0.005273615
14,2834,265,29.54572105,129.764849,0.06712153,0.004779917
15,2834,266,29.54313134,129.7642055,0.06815346,0.003730334
16,2834,267,29.54054195,129.7635626,0.065869264,0.005813898
17,2834,268,29.53795202,129.762919,0.06439458,0.00685231
18,2834,269,29.5353621,129.7622719,0.061482508,0.005209751
19,2834,270,29.53277218,129.7616233,0.059307195,0.005130129
20,2834,271,29.53018172,129.7609807,0.058552433,0.004499564
21,2834,272,29.52759156,129.760338,0.057572115,0.003708483
