pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2561,241,29.74411793,129.9690996,0.039561436,0.002191228
2,2562,241,29.74361466,129.9718299,0.04172316,0.002943304
3,2563,241,29.7431114,129.9745603,0.042054668,0.002849241
4,2564,241,29.74260813,129.9772906,0.04270009,0.002189863
5,2565,241,29.74210487,129.980021,0.041480914,0.001245933
6,2566,242,29.73901117,129.9821258,0.041499387,0.001825756
7,2567,242,29.73850789,129.9848561,0.0423755,0.002574622
8,2568,242,29.73800461,129.9875865,0.043231767,0.002467417
9,2569,242,29.73750134,129.9903168,0.044809,0.002167067
10,2570,242,29.73699806,129.9930472,0.045178607,0.002332408
11,2571,242,29.73649478,129.9957775,0.04482862,0.002583263
12,2572,242,29.73599151,129.9985078,0.043795556,0.003154195
13,2573,242,29.73548823,130.0012382,0.04259373,0.003335015
14,2574,243,29.73239377,130.0033432,0.04362122,0.00319938
15,2575,243,29.73189049,130.0060736,0.044146426,0.003126711
16,2576,243,29.73138722,130.0088039,0.04394558,0.002725037
17,2577,243,29.73088394,130.0115343,0.043575972,0.002378334
18,2578,243,29.73038067,130.0142646,0.0425311,0.002236686
19,2579,243,29.72987739,130.0169949,0.0425498,0.002609238
20,2580,243,29.72937412,130.0197253,0.043062765,0.002547869
21,2581,243,29.72887084,130.0224556,0.04373803,0.002064177
22,2582,243,29.72836757,130.025186,0.04555615,0.00263952
23,2583,244,29.7252734,130.0272882,0.0455353,0.002152795
24,2584,244,29.72477013,130.0300185,0.048621107,0.003396634
25,2585,244,29.72426687,130.0327487,0.050225943,0.003619231
26,2586,244,29.72376361,130.0354789,0.052402187,0.001632566
27,2587,244,29.72326035,130.0382092,0.051990103,0.001903734
28,2588,244,29.72275709,130.0409394,0.051592696,0.002411676
29,2589,244,29.72225383,130.0436696,0.05162369,0.003101856
30,2590,244,29.72175056,130.0463999,0.05205155,0.003315283
31,2591,244,29.7212473,130.0491301,0.053335704,0.003581997
32,2592,245,29.71815404,130.0512313,0.055071328,0.003505197
33,2593,245,29.71765077,130.0539614,0.052828312,0.005332424
34,2594,245,29.7171475,130.0566915,0.050544944,0.00527865
35,2595,245,29.71664422,130.0594217,0.047607996,0.002492927
36,2596,245,29.71614095,130.0621518,0.046518795,0.003320264
37,2597,245,29.71563768,130.0648819,0.04428355,0.002421956
38,2598,245,29.7151344,130.067612,0.04286284,0.001980673
39,2599,245,29.71463113,130.0703422,0.04253133,0.002251832
40,2600,246,29.71153783,130.0724465,0.04172316,0.002943304
41,2601,246,29.71103455,130.0751766,0.040395368,0.002807373
42,2602,246,29.71053127,130.0779068,0.039242137,0.002167029
43,2603,246,29.71002798,130.0806369,0.038028426,0.002624478
44,2604,246,29.7095247,130.0833671,0.04006469,0.007737607
45,2605,246,29.70902142,130.0860972,0.03844781,0.008305972
46,2606,246,29.70851813,130.0888274,0.037732787,0.008545611
47,2607,246,29.70801485,130.0915575,0.034234494,0.002152276
48,2608,246,29.70751157,130.0942877,0.03406416,0.001469799
49,2609,247,29.70441839,130.0963925,0.03378762,0.001380824
50,2610,247,29.70391513,130.0991226,0.033168122,0.002334627
51,2611,247,29.70341187,130.1018527,0.033172958,0.002410347
52,2612,247,29.70290861,130.1045829,0.03303218,0.002286124
53,2613,247,29.70240536,130.107313,0.03390852,8.51E-04
