pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2426,278,29.7154542,129.5773374,0.03985277,0.001535699
2,2426,279,29.71286315,129.5767196,0.03985277,0.001535699
3,2426,280,29.71027204,129.5761094,0.039381698,0.001732149
4,2427,281,29.70718916,129.5782255,0.040189866,0.001914608
5,2427,282,29.70459885,129.5776076,0.03953865,0.00168042
6,2427,283,29.70200927,129.5769975,0.040021107,0.001728528
7,2427,284,29.69941901,129.5763795,0.040207904,0.002319125
8,2427,285,29.69682801,129.5757616,0.04087716,0.002631557
9,2428,286,29.69374444,129.5778841,0.041830465,0.001683728
10,2428,287,29.69115329,129.5772739,0.04198742,0.001339266
11,2428,288,29.68856232,129.5766569,0.04038721,0.002592961
12,2428,289,29.6859728,129.5760388,0.040067505,0.002666093
13,2429,290,29.68289002,129.5781598,0.041704454,0.002612068
14,2429,291,29.68029901,129.5775416,0.043019127,0.001526476
15,2429,292,29.67770869,129.5769247,0.04303805,0.002043804
16,2429,293,29.67511775,129.5763158,0.04268161,0.001748951
17,2429,294,29.67252678,129.5756987,0.043751415,0.002386786
18,2430,295,29.66944401,129.5778123,0.043381806,0.001940599
19,2430,296,29.66685302,129.577201,0.04220004,0.002456371
20,2430,297,29.66426202,129.5765827,0.0400093,0.001379523
21,2430,298,29.66167173,129.5759644,0.038898822,0.001424356
22,2430,299,29.65908004,129.5753541,0.037670527,0.001539504
23,2431,300,29.65599584,129.5774683,0.035619564,0.001826734
24,2431,301,29.65340558,129.5768511,0.035462808,0.001476795
25,2431,302,29.65081616,129.5762412,0.03547822,0.001841324
