pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,3089,321,29.26708425,130.4210738,0.06447909,0.004713763
2,3088,320,29.27020595,130.4190214,0.06363759,0.003399901
3,3088,319,29.27279502,130.4196795,0.06240642,0.004073005
4,3087,318,29.27591538,130.4176314,0.061354388,0.002942417
5,3086,317,29.27903655,130.415586,0.061561074,0.001740796
6,3085,316,29.28215772,130.4135329,0.062865235,0.003249767
7,3085,315,29.28474767,130.4141909,0.066037424,0.004512167
8,3084,314,29.28786886,130.4121433,0.07061578,0.007179066
9,3083,313,29.29098917,130.4100957,0.079543255,0.01193599
10,3082,312,29.29410975,130.4080409,0.08587507,0.006752905
11,3082,311,29.29669864,130.4086987,0.0896548,0.005277414
12,3081,310,29.29981959,130.4066508,0.09761226,0.006614551
13,3080,309,29.30294059,130.4046019,0.100536615,0.00862016
14,3080,308,29.30552857,130.4052594,0.099310845,0.008315392
15,3079,307,29.30864987,130.4032041,0.09804089,0.007087003
16,3078,306,29.31177185,130.4011561,0.099197835,0.006704332
17,3077,305,29.31489166,130.399109,0.100364074,0.00604588
18,3077,304,29.31747962,130.3997667,0.09758561,0.006220656
19,3076,303,29.32060084,130.3977105,0.09755638,0.005652417
20,3075,302,29.32372206,130.3956621,0.094440624,0.004906802
21,3074,301,29.32684333,130.3936137,0.09678995,0.005830578
22,3074,300,29.32943199,130.3942705,0.10031942,0.005112567
23,3073,299,29.3325526,130.3922149,0.096109256,0.007354657
24,3072,298,29.3356732,130.3901651,0.0942495,0.008141003
25,3072,297,29.33826192,130.3908289,0.09640563,0.011207212
26,3071,296,29.34138153,130.3887707,0.095335156,0.007402422
27,3070,295,29.34449778,130.38672,0.0929798,0.005769528
28,3069,294,29.34761488,130.3846702,0.0880733,0.008156503
29,3069,293,29.35020445,130.3853268,0.08691267,0.006785287
30,3068,292,29.35332229,130.3832675,0.08333829,0.009138136
31,3067,291,29.35644094,130.381216,0.079553775,0.006671826
32,3066,290,29.35955888,130.3791645,0.07890507,0.006518027
33,3066,289,29.36214768,130.3798211,0.0781154,0.008162708
34,3065,288,29.36526549,130.3777692,0.07657283,0.008023596
35,3064,287,29.36838326,130.375717,0.07301185,0.008406019
36,3064,286,29.37097227,130.3763736,0.07178291,0.007721651
37,3063,285,29.37409033,130.3743137,0.06800383,0.005794842
38,3062,284,29.37720747,130.3722612,0.06853499,0.005550003
39,3061,283,29.38032462,130.3702088,0.06520273,0.007272012
40,3061,282,29.38291407,130.3708653,0.061227422,0.005002261
41,3060,281,29.38603083,130.3688123,0.057791807,0.003578948
42,3059,280,29.38914807,130.3667592,0.0582583,0.003509454
43,3058,279,29.39226591,130.3647,0.058994215,0.003993996
44,3058,278,29.3948555,130.3653553,0.05923862,0.004158842
45,3057,277,29.39797292,130.3633019,0.062239733,0.005418867
