pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,509,816,29.1696103,129.6489187,0.03246694,0.001630746
2,508,815,29.17257807,129.6466592,0.031952213,0.00170534
3,508,814,29.17515803,129.6471391,0.03322487,4.07E-04
4,507,813,29.17812662,129.6448713,0.03350141,8.77E-04
5,506,812,29.18109368,129.6426036,0.033782784,0.001246624
6,505,811,29.18406217,129.6403425,0.034079567,0.001848879
7,505,810,29.18664276,129.6408231,0.033933595,0.001639051
8,504,809,29.18960903,129.6385553,0.03654879,0.002845245
9,503,808,29.19257668,129.6362865,0.036783703,0.001841636
10,502,807,29.19554441,129.6340259,0.036528733,0.00257746
11,502,806,29.19812418,129.6345061,0.03788742,0.002788235
12,501,805,29.20109172,129.6322368,0.039684005,0.001245977
13,500,804,29.20405922,129.6299743,0.03905598,0.0014412
14,499,803,29.20702622,129.6277129,0.03842775,0.001288278
15,499,802,29.20960563,129.6281858,0.038887434,0.001013764
16,498,801,29.21257266,129.6259174,0.037860043,0.00234051
17,497,800,29.21553969,129.6236548,0.038006812,0.00226314
18,497,799,29.21811942,129.6241343,0.03847209,0.002324635
19,496,798,29.22108686,129.6218657,0.039083935,0.002106462
20,495,797,29.2240542,129.6195963,0.041005127,0.001927647
21,494,796,29.22702151,129.6173341,0.04134888,0.002208386
22,494,795,29.22960193,129.6178132,0.042355653,0.002116783
23,493,794,29.23256891,129.6155432,0.042668913,0.001339713
24,492,793,29.2355359,129.6132794,0.042668913,0.001339713
25,491,792,29.23850365,129.6110162,0.041149404,0.001291995
26,491,791,29.2410832,129.6114901,0.040643122,7.32E-04
27,490,790,29.24405039,129.6092181,0.039997917,9.65E-04
28,489,789,29.24701759,129.6069499,0.03953306,0.001535751
29,488,788,29.24998427,129.6046859,0.0393759,0.001574473
30,488,787,29.25256333,129.6051601,0.038573526,9.30E-04
31,487,786,29.25553044,129.6028909,0.039235722,0.002002479
32,486,785,29.25849738,129.6006257,0.03832174,0.002439105
33,485,784,29.26146389,129.5983604,0.037569508,0.002610983
34,485,783,29.26404262,129.5988334,0.03847209,0.002324635
35,484,782,29.26700935,129.5965685,0.03830495,0.002119812
36,483,781,29.26997713,129.5943022,0.038164366,0.002362595
37,483,780,29.27255651,129.5947746,0.038851872,0.003468806
38,482,779,29.27552267,129.5925045,0.037879687,0.002774525
39,481,778,29.27848961,129.5902377,0.036255684,0.002814172
40,480,777,29.28145575,129.5879719,0.03753996,0.001988893
41,480,776,29.28403477,129.5884462,0.036777344,0.001644524
42,479,775,29.28700163,129.5861765,0.036031485,0.001290384
43,478,774,29.28996774,129.5839097,0.035065375,0.002081065
44,477,773,29.2929346,129.5816421,0.035467643,0.001585954
45,477,772,29.29551397,129.5821144,0.036349077,0.00191453
46,476,771,29.29848039,129.5798439,0.03480929,0.002516513
47,475,770,29.30144678,129.5775771,0.034270167,0.002737538
48,474,769,29.30441272,129.5753101,0.03476394,0.001681274
49,474,768,29.30699207,129.5757827,0.033627048,0.003165292
50,473,767,29.30995967,129.5735126,0.032631032,0.002249289
