pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2857,405,29.17126037,129.7371813,0.053716213,0.002597853
2,2857,406,29.16867077,129.7365355,0.053490654,0.002353327
3,2857,407,29.16608091,129.7358953,0.0530711,0.002584393
4,2857,408,29.16349124,129.7352542,0.05246418,0.003187612
5,2857,409,29.16090135,129.7346085,0.050528854,0.001303433
6,2857,410,29.15831125,129.7339627,0.050746378,0.001828176
7,2857,411,29.15572061,129.7333221,0.051772855,0.001639173
8,2857,412,29.15313102,129.7326763,0.052394718,0.001351552
9,2857,413,29.15054196,129.7320306,0.05176511,0.001319267
10,2857,414,29.14795263,129.73139,0.05307857,0.002739762
11,2857,415,29.14536358,129.7307498,0.054617587,0.00318492
12,2858,416,29.142256,129.7328157,0.05920529,0.003629953
13,2858,417,29.13966588,129.7321694,0.061111547,0.00301536
14,2858,418,29.13707683,129.7315276,0.06309847,0.002775318
15,2858,419,29.13448727,129.7308813,0.06438439,0.002870037
16,2858,420,29.13189771,129.7302359,0.06623004,0.003033929
17,2858,421,29.12930841,129.7295941,0.06759234,0.00340077
18,2858,422,29.12671915,129.728953,0.06926716,0.00395337
19,2858,423,29.12413018,129.7283076,0.06871639,0.004048071
20,2858,424,29.12154038,129.7276617,0.06871639,0.004048071
21,2858,425,29.11895008,129.7270206,0.06810458,0.002581663
22,2858,426,29.11635981,129.7263796,0.06759234,0.00340077
23,2858,427,29.11377028,129.7257337,0.0685409,0.005797591
24,2858,428,29.11118075,129.7250878,0.06826052,0.005732134
25,2858,429,29.10859045,129.7244473,0.07054796,0.006482595
26,2858,430,29.10600046,129.7238014,0.069068246,0.005320766
27,2858,431,29.10341074,129.7231555,0.066369444,0.008273934
28,2858,432,29.10082096,129.7225153,0.062562846,0.006251069
29,2858,433,29.09823199,129.7218746,0.05996042,0.004279672
30,2858,434,29.09564252,129.7212284,0.0582583,0.003509454
31,2858,435,29.0930515,129.720585,0.056661848,0.003883036
32,2858,436,29.09046153,129.7199472,0.05478892,0.002128411
33,2859,437,29.08735487,129.7220162,0.053700432,0.002195257
34,2859,438,29.08476515,129.7213751,0.053047575,0.001949981
35,2859,439,29.08217544,129.7207287,0.051757637,9.44E-04
36,2859,440,29.07958598,129.7200823,0.05176511,0.001319267
37,2859,441,29.07699686,129.7194421,0.05136824,0.001979462
38,2859,442,29.07440741,129.7188011,0.051165935,0.002096623
39,2859,443,29.07181769,129.7181548,0.05119693,0.002868958
40,2859,444,29.06922829,129.7175091,0.051811323,0.002707059
41,2859,445,29.0666381,129.7168681,0.051016502,0.003322205
42,2859,446,29.0640479,129.7162262,0.051405337,0.002848635
43,2859,447,29.06145851,129.715581,0.050985508,0.0026813
