pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,571,763,29.28210791,129.8442545,0.0358909,0.001426257
2,570,762,29.28507895,129.8419928,0.03647499,0.001466083
3,569,762,29.28546982,129.83925,0.035775937,0.002084086
4,568,761,29.28844078,129.8369871,0.03535268,0.002171398
5,567,760,29.29141161,129.8347307,0.03623661,0.002589576
6,566,759,29.29438251,129.8324678,0.037401345,0.002301392
7,565,759,29.29477333,129.8297245,0.037867025,0.002513478
8,564,758,29.29774359,129.8274614,0.03631323,9.67E-04
9,563,757,29.30071454,129.8251983,0.036626358,0.001580358
10,562,756,29.30368554,129.8229345,0.036626555,0.001596391
11,561,756,29.30407635,129.8201912,0.03722163,0.001623296
12,560,755,29.30704718,129.8179291,0.03874166,0.001387425
13,559,754,29.31001805,129.8156658,0.040021323,0.00174539
14,558,753,29.3129889,129.8134006,0.039927118,0.002967032
15,557,753,29.31337968,129.8106571,0.039310478,0.003265262
16,556,752,29.31635101,129.8083927,0.038310762,0.002244586
17,555,751,29.3193218,129.8061293,0.039730825,0.002412729
18,554,750,29.3222923,129.8038658,0.04017205,0.001419854
19,553,750,29.32268302,129.8011222,0.040643122,7.32E-04
20,552,749,29.32565321,129.7988622,0.040842827,0.002010004
21,551,748,29.32862339,129.7965957,0.04073442,0.003052495
22,550,747,29.33159379,129.7943319,0.039882403,0.002262563
23,549,747,29.33198448,129.7915879,0.040569052,0.002945969
24,548,746,29.33495549,129.7893248,0.040130936,0.003562067
25,547,745,29.33792616,129.7870589,0.03902936,0.003669039
26,546,744,29.34089688,129.7847916,0.040661152,0.001491789
27,545,744,29.34128754,129.7820474,0.039864365,0.001842109
28,544,743,29.34425852,129.7797798,0.039085183,0.002183536
29,543,742,29.34722909,129.7775168,0.03833439,0.002703234
30,542,742,29.34761973,129.7747725,0.039322942,0.003457197
31,541,741,29.35059029,129.7725083,0.04019729,0.00436297
32,540,740,29.35355962,129.7702401,0.040946357,0.003587822
33,539,739,29.35652938,129.7679722,0.039786518,0.003224202
34,538,739,29.35691998,129.7652277,0.03928128,0.002825945
35,537,738,29.35989078,129.7629645,0.03954424,0.001813567
36,536,737,29.36286172,129.7607001,0.03973104,0.002424867
37,535,736,29.36583187,129.7584342,0.040871784,0.002556327
38,534,736,29.36622245,129.7556894,0.0417098,0.002680047
39,533,735,29.36919156,129.7534203,0.041523222,0.002342286
40,532,734,29.37216122,129.7511555,0.041318387,0.001407756
41,531,733,29.37513057,129.7488916,0.03972255,0.00215744
42,530,733,29.37552107,129.7461467,0.039290227,0.002890026
43,529,732,29.37849106,129.7438762,0.03727675,0.002717705
44,528,731,29.38146177,129.7416062,0.037738673,0.002920848
45,527,730,29.3844311,129.7393367,0.039265327,0.002606301
46,526,730,29.38482159,129.7365914,0.03790564,0.003101731
47,525,729,29.38779185,129.7343273,0.036854275,0.003063397
48,524,728,29.39076261,129.7320624,0.036346182,0.00195531
49,523,727,29.39373136,129.7297915,0.034602553,0.001039332
50,522,727,29.39412184,129.7270461,0.03418524,9.71E-04
51,521,726,29.39709089,129.7247747,0.033816826,0.002017929
