pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2404,190,29.95426077,129.5712564,0.04481499,0.002278501
2,2405,191,29.95117817,129.5733803,0.04391302,0.002026849
3,2406,191,29.95068577,129.5761197,0.04355658,0.001921339
4,2407,192,29.94760317,129.5782442,0.042837676,0.001211338
5,2408,192,29.94711078,129.5809833,0.043362882,0.001390524
6,2409,193,29.94402689,129.5831089,0.04406308,0.001251934
7,2410,193,29.94353449,129.585848,0.044782672,0.001417838
8,2411,194,29.94045165,129.587972,0.046638653,0.001958763
9,2412,195,29.9373694,129.5900983,0.04937961,0.002829647
10,2413,195,29.936877,129.5928373,0.05077573,0.00257428
11,2414,196,29.93379389,129.5949579,0.053633913,0.004843615
12,2415,196,29.93330148,129.5976969,0.05653783,0.005184763
13,2416,197,29.9302187,129.5998195,0.058942672,0.003021321
14,2417,197,29.9297263,129.6025585,0.05883856,0.005204224
15,2418,198,29.9266438,129.6046815,0.06221802,0.005022922
16,2419,199,29.92356125,129.6068035,0.061991863,0.005301672
17,2420,199,29.92306885,129.6095422,0.056561537,0.007727421
18,2421,200,29.91998629,129.6116638,0.049028207,0.006001393
19,2422,200,29.9194939,129.6144024,0.04463402,0.002283413
20,2423,201,29.91641132,129.6165236,0.042518403,0.001932477
21,2424,201,29.91591894,129.6192621,0.0426934,0.002015431
22,2425,202,29.9128365,129.6213906,0.04166815,0.001857411
