pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2635,274,29.62134381,130.150336,0.03867443,0.003091051
2,2635,275,29.61875233,130.1497092,0.038499873,0.002787195
3,2636,276,29.61565474,130.1518087,0.039939858,0.003189534
4,2636,277,29.61306461,130.151182,0.040854633,0.002258916
5,2637,278,29.60996672,130.1532744,0.041174125,0.002023331
6,2637,279,29.60737627,130.1526407,0.041174125,0.002023331
7,2638,280,29.60427872,130.1547397,0.042713005,0.002474057
8,2638,281,29.60168809,130.1541125,0.04307546,0.002782875
9,2639,282,29.5985912,130.1562111,0.04388261,0.004404483
10,2639,283,29.59600053,130.1555774,0.04527882,0.003993571
11,2640,284,29.59290345,130.1576697,0.047129292,0.003922802
12,2640,285,29.59031266,130.1570423,0.045943245,0.002893368
13,2640,286,29.58772126,130.1564152,0.045943245,0.002893368
14,2641,287,29.58462418,130.1585156,0.047236875,0.002646323
15,2641,288,29.58203393,130.1578818,0.04704872,0.002681119
16,2642,289,29.57893593,130.159974,0.045393348,0.002964598
17,2642,290,29.5763459,130.1593463,0.045093037,0.003830571
18,2643,291,29.57324883,130.1614439,0.04310713,0.003297632
19,2643,292,29.57065807,130.1608165,0.042787425,0.003635316
20,2644,293,29.56755997,130.1629138,0.040347245,0.001820955
21,2644,294,29.56496843,130.16228,0.0405218,0.002091999
22,2644,295,29.5623774,130.1616463,0.040841505,0.001914436
23,2645,296,29.55927956,130.1637433,0.0418601,0.002337494
24,2645,297,29.55668911,130.1631156,0.0420119,0.002024428
25,2646,298,29.55359259,130.1652123,0.042524867,0.00209825
26,2646,299,29.55100239,130.1645785,0.043232217,0.002493563
27,2647,300,29.54790406,130.1666695,0.044666093,0.002885637
28,2647,301,29.54531384,130.1660412,0.04537994,0.002717461
29,2648,302,29.54221677,130.1681378,0.046287917,0.002444977
30,2648,303,29.53962625,130.1675093,0.044753987,0.004069634
31,2649,304,29.53652947,130.1696,0.046356734,0.003665209
32,2649,305,29.53393815,130.1689672,0.043802273,0.003268662
33,2649,306,29.53134729,130.1683386,0.04218045,0.001990669
34,2650,307,29.52825057,130.1704341,0.041715838,0.002784207
35,2650,308,29.52565988,130.1698059,0.041728534,0.003007163
36,2651,309,29.52256333,130.1718962,0.04119194,0.002388187
37,2651,310,29.51997326,130.1712625,0.040986437,0.0013624
38,2652,311,29.51687534,130.1733576,0.042175103,0.001899649
39,2652,312,29.51428461,130.1727324,0.041880332,0.00277892
40,2653,313,29.51118714,130.1748277,0.040848173,0.002100055
41,2653,314,29.50859609,130.1741978,0.03951546,8.61E-04
42,2653,315,29.50600589,130.1735647,0.038898822,0.001424356
43,2654,316,29.50290851,130.1756565,0.03842775,0.001288278
44,2654,317,29.50031747,130.1750272,0.038590502,0.001533528
45,2655,318,29.49721967,130.1771208,0.039061572,0.001596351
46,2655,319,29.49462791,130.1764912,0.03875864,0.001846422
47,2656,320,29.49153012,130.1785851,0.03652933,0.002607018
48,2656,321,29.48893995,130.177952,0.036037065,0.001473176
49,2657,322,29.48584332,130.1800421,0.03618304,0.001487025
50,2657,323,29.48325278,130.1794118,0.03618824,0.001618813
51,2658,324,29.48015536,130.1815052,0.036803372,0.002175931
52,2658,325,29.47756436,130.1808793,0.03750279,0.001003188
