pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2600,278,29.62863624,130.0523657,0.031618502,0.005164939
2,2601,279,29.62554225,130.0544626,0.03477263,0.007176075
3,2601,280,29.62295161,130.0538369,0.03782095,0.005488302
4,2602,281,29.61985777,130.0559393,0.036992107,0.002831411
5,2602,282,29.61726768,130.0553144,0.03739456,0.002121343
6,2603,283,29.61417348,130.057411,0.037227422,0.001784533
7,2603,284,29.61158289,130.0567798,0.037995428,0.002024323
8,2604,285,29.60848904,130.0588817,0.041184086,0.004623734
9,2604,286,29.60589785,130.0582563,0.041667398,0.004470822
10,2605,287,29.60280428,130.0603609,0.04102231,0.002272141
11,2605,288,29.60021398,130.0597316,0.0407271,0.002896586
12,2606,289,29.59711929,130.0618272,0.04119817,0.002514406
13,2606,290,29.59452924,130.0612016,0.042067133,0.00305475
14,2607,291,29.59143611,130.0633033,0.042174652,0.001864909
15,2607,292,29.58884548,130.0626779,0.04199966,0.001716433
16,2608,293,29.5857512,130.0647796,0.044553164,0.003969736
17,2608,294,29.58315963,130.0641478,0.046584375,0.004172655
18,2609,295,29.5800648,130.0662426,0.048597917,0.00292751
19,2609,296,29.57747382,130.0656172,0.04921978,0.003486038
20,2610,297,29.57438059,130.0677202,0.04981386,0.003469866
21,2610,298,29.57179061,130.0670967,0.049805883,0.003316393
22,2611,299,29.56869671,130.0691911,0.047291018,0.003543339
23,2611,300,29.56610546,130.0685587,0.046544854,0.003676122
24,2612,301,29.56301205,130.0706599,0.04723736,0.002674356
25,2612,302,29.56042181,130.0700346,0.047223713,0.002394193
26,2613,303,29.55732835,130.0721356,0.047795627,0.002369947
27,2613,304,29.55473838,130.0715031,0.046826806,0.001955755
28,2614,305,29.5516431,130.0735967,0.045566935,0.002750883
29,2614,306,29.54905178,130.0729714,0.04538548,0.002782942
30,2615,307,29.54595856,130.0750729,0.044842288,0.002859915
31,2615,308,29.54336775,130.0744488,0.04445903,0.002377092
32,2616,309,29.54027528,130.0765417,0.044458546,0.002344861
33,2616,310,29.53768607,130.0759089,0.04575054,0.00282286
34,2617,311,29.53459139,130.0780092,0.04443939,0.001909152
35,2617,312,29.53200002,130.0773837,0.042668913,0.001339713
36,2618,313,29.52890615,130.079484,0.041643664,0.001061303
37,2618,314,29.52631484,130.0788575,0.041981407,0.001117413
38,2619,315,29.52322171,130.0809509,0.041655906,0.001512725
39,2619,316,29.52063168,130.0803204,0.0413362,0.001893558
40,2620,317,29.51753701,130.0824208,0.04050442,0.001691691
41,2620,318,29.51494565,130.0817943,0.041529898,0.002495357
42,2621,319,29.51185096,130.0838928,0.04117345,0.001974578
43,2621,320,29.50926036,130.0832675,0.042367913,0.002373554
44,2622,321,29.50616651,130.0853603,0.042174652,0.001864909
45,2622,322,29.50357661,130.0847267,0.04234341,0.001827039
46,2623,323,29.50048279,130.086825,0.041149404,0.001291995
47,2623,324,29.4978922,130.0861998,0.040817894,0.001240516
48,2624,325,29.49479657,130.0882983,0.0408297,0.001613111
49,2624,326,29.4922044,130.087673,0.040038925,0.002154901
50,2625,327,29.489107,130.089762,0.039556254,0.002107164
51,2625,328,29.48651796,130.0891283,0.03921873,0.001593441
52,2626,329,29.48342057,130.0912255,0.04038805,0.002635952
53,2626,330,29.48082997,130.0905999,0.041330192,0.001741187
54,2627,331,29.47773262,130.0926968,0.041179247,0.002096876
55,2627,332,29.47514137,130.0920699,0.03925352,0.002384953
56,2628,333,29.47204405,130.0941652,0.038305372,0.002146537
57,2628,334,29.46945419,130.0935341,0.036620967,0.00143058
58,2629,335,29.46635756,130.0956249,0.036036875,0.001457125
59,2629,336,29.46376638,130.0949978,0.035744924,0.001377411
60,2630,337,29.460669,130.0970928,0.035744548,0.001344147
61,2630,338,29.45807918,130.0964667,0.035755135,0.001637899
62,2631,339,29.45498186,130.0985624,0.03678331,0.001814951
