pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2566,229,29.77268772,129.9902496,0.04050442,0.001691691
2,2567,229,29.7721844,129.9929809,0.040329427,0.001293232
3,2568,229,29.77168109,129.9957122,0.040498186,0.001494419
4,2569,229,29.77117777,129.9984435,0.041023396,0.002337545
5,2570,228,29.77326442,130.0018006,0.042205162,0.002514946
6,2571,228,29.77276113,130.0045321,0.04187365,0.002642361
7,2572,228,29.77225784,130.0072635,0.04183691,0.001871493
8,2573,228,29.77175454,130.009995,0.040986653,0.001383562
9,2574,228,29.77125125,130.0127264,0.041480914,0.001245933
10,2575,228,29.77074796,130.0154579,0.042525318,0.002129103
11,2576,228,29.77024466,130.0181894,0.04235656,0.002177605
12,2577,227,29.77233204,130.0215494,0.041511647,0.002123673
13,2578,227,29.77182876,130.024281,0.04186809,0.002562538
14,2579,227,29.77132548,130.0270125,0.04362681,0.003263817
15,2580,227,29.77082219,130.0297441,0.04633687,0.003384122
16,2581,227,29.77031891,130.0324757,0.047845576,0.003352176
17,2582,227,29.76981563,130.0352073,0.048215184,0.003075021
18,2583,227,29.76931235,130.0379388,0.048402812,0.002932811
19,2584,226,29.77140034,130.0412969,0.047802575,0.002521239
20,2585,226,29.77089706,130.0440285,0.04999281,0.005923178
21,2586,226,29.77039378,130.0467601,0.0495954,0.005957356
22,2587,226,29.76989049,130.0494916,0.04942711,0.006206303
23,2588,226,29.76938721,130.0522232,0.04649717,0.002912248
24,2589,226,29.76888393,130.0549548,0.04594611,0.00303975
25,2590,226,29.76838064,130.0576864,0.045186784,0.002570914
26,2591,226,29.76787736,130.0604179,0.0431999,0.001709229
27,2592,225,29.76996534,130.0637791,0.040719997,0.00274241
28,2593,225,29.76946205,130.0665108,0.039858356,0.001679176
29,2594,225,29.76895877,130.0692425,0.039061572,0.001596351
30,2595,225,29.76845548,130.0719742,0.038444526,0.001761088
31,2596,225,29.7679522,130.0747059,0.037395157,0.002156889
32,2597,225,29.76744891,130.0774376,0.03662675,0.001610977
33,2598,225,29.76694563,130.0801693,0.03618304,0.001487025
34,2599,224,29.76903359,130.0835308,0.03690791,0.001158822
35,2600,224,29.7685303,130.0862626,0.03690252,9.46E-04
36,2601,224,29.76802702,130.0889944,0.036464404,0.001136032
37,2602,224,29.76752373,130.0917262,0.035880312,0.001077712
