pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2425,177,29.97759855,129.6367987,0.04444491,0.002001335
2,2425,178,29.9750069,129.636181,0.04502997,0.00296455
3,2426,179,29.97192499,129.6383033,0.04610001,0.002416596
4,2426,180,29.96933397,129.6376848,0.04647632,0.002488534
5,2426,181,29.96674294,129.6370742,0.04644951,0.001858931
6,2426,182,29.96415337,129.6364577,0.048738196,0.005021625
7,2427,183,29.96107004,129.6385798,0.050702225,0.004722704
8,2427,184,29.95847834,129.6379618,0.05251684,0.004023759
9,2427,185,29.95588657,129.6373439,0.052067354,0.003605138
10,2427,186,29.95329555,129.6367259,0.050790407,0.002875506
11,2428,187,29.95021369,129.6388482,0.049814656,0.003508841
12,2428,188,29.94762352,129.6382309,0.048165236,0.001968973
13,2428,189,29.9450334,129.6376128,0.047236875,0.002646323
14,2428,190,29.94244327,129.6370029,0.046158455,0.003389531
15,2429,191,29.93936071,129.6391241,0.045788847,0.003399976
16,2429,192,29.93677054,129.6385059,0.043796927,0.003217073
17,2429,193,29.93417882,129.6378901,0.04287577,0.002292438
18,2429,194,29.93158862,129.637273,0.04198742,0.001339266
19,2430,195,29.92850619,129.6394017,0.041830678,0.001700776
20,2430,196,29.9259153,129.6387832,0.041868776,0.002601326
