pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2824,251,29.58715394,129.7466391,0.062837705,0.002582551
2,2823,252,29.5850817,129.7432752,0.063871816,0.002951498
3,2823,253,29.58249175,129.7426328,0.063089184,0.002522686
4,2822,254,29.58041957,129.7392678,0.06721782,0.006331176
5,2821,255,29.57834807,129.7359062,0.065998174,0.003781966
6,2821,256,29.57575871,129.7352585,0.067071535,0.003867361
7,2820,257,29.57368715,129.7318862,0.07100305,0.004776642
8,2819,258,29.57161505,129.7285219,0.07132869,0.00550598
9,2819,259,29.56902589,129.7278813,0.0730104,0.008366912
10,2818,260,29.56695518,129.7245173,0.07162558,0.008953592
11,2817,261,29.56488218,129.7211535,0.06604741,0.004684796
12,2817,262,29.5622914,129.720505,0.06520591,0.003775779
13,2816,263,29.56021924,129.7171353,0.064522184,0.005230026
14,2815,264,29.55814601,129.7137733,0.06493379,0.003499695
15,2815,265,29.5555568,129.7131318,0.06370135,0.00451211
16,2814,266,29.55348106,129.7097669,0.062396508,0.003871799
