pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2562,254,29.70993653,129.963695,0.03811384,0.001082894
2,2563,255,29.70684285,129.9657993,0.038276184,0.001369247
3,2564,255,29.70633955,129.968529,0.038455505,0.002002296
4,2565,256,29.70324523,129.9706331,0.04103478,0.002531891
5,2566,256,29.70274195,129.9733627,0.04038936,0.002704587
6,2567,257,29.69964766,129.9754659,0.039468963,0.003308138
7,2568,258,29.6965534,129.977568,0.03786165,0.002427114
8,2569,258,29.69605015,129.9802974,0.038193163,0.002868155
9,2570,259,29.69295581,129.9824014,0.040067084,0.002644938
10,2571,259,29.69245255,129.9851308,0.04152904,0.00244848
11,2572,260,29.68935949,129.9872348,0.043596532,0.002823199
12,2573,260,29.68885622,129.9899642,0.04302559,0.001729461
13,2574,261,29.68576326,129.9920709,0.04503836,0.003164672
14,2575,262,29.68266907,129.9941791,0.04651082,0.003150161
15,2576,262,29.68216579,129.996908,0.046644848,0.002086563
16,2577,263,29.67907229,129.9990125,0.04822293,0.003234818
17,2578,263,29.67856902,130.0017414,0.046275746,0.002234409
18,2579,264,29.675475,130.0038449,0.047114104,0.00386073
19,2580,265,29.67238067,130.0059456,0.046107195,0.002584269
20,2581,265,29.67187741,130.0086744,0.046134006,0.003071852
21,2582,266,29.66878412,130.0107741,0.047113597,0.00383963
22,2583,266,29.66828084,130.0135028,0.048250224,0.003638995
23,2584,267,29.66518734,130.015606,0.04734322,0.004353954
24,2585,268,29.66209384,130.0177093,0.04619015,0.00397061
25,2586,268,29.66159056,130.020438,0.045826286,0.00403314
26,2587,269,29.65849628,130.0225375,0.044795834,0.001831234
27,2588,269,29.657993,130.0252661,0.045737844,0.002606182
28,2589,270,29.65489866,130.0273667,0.044894535,0.003667722
29,2590,270,29.65439541,130.0300952,0.043836016,0.00379135
30,2591,271,29.65130195,130.0321982,0.04032363,0.001078626
31,2592,272,29.6482081,130.0343006,0.03863006,0.002410965
32,2593,272,29.64770482,130.0370291,0.038175765,0.002571124
33,2594,273,29.64461059,130.0391276,0.036464594,0.001156468
34,2595,273,29.6441073,130.0418559,0.03661057,0.001112652
35,2596,274,29.64101275,130.0439542,0.035133958,0.003053405
