pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,805,707,29.32776043,130.5163158,0.033389296,0.001535536
2,806,708,29.32477301,130.5185609,0.03352506,0.001559505
3,807,709,29.32178651,130.5208039,0.03380126,0.001666599
4,808,710,29.31879927,130.5230496,0.03344811,0.002616145
5,808,711,29.3162162,130.5225543,0.035056457,0.001958469
6,809,712,29.31322841,130.5247944,0.035744924,0.001377411
7,810,713,29.31024119,130.5270391,0.036924087,0.001639908
8,811,714,29.3072539,130.5292857,0.038427956,0.001309281
9,812,715,29.30426661,130.5315252,0.039126847,0.002958456
10,813,716,29.30127903,130.5337645,0.041028526,0.002402909
11,814,717,29.29829195,130.5360093,0.041395713,0.00299684
12,815,718,29.29530482,130.5382553,0.041885488,0.002835087
13,815,719,29.2927223,130.5377564,0.04223547,0.0030203
14,816,720,29.28973518,130.5400001,0.044602837,0.004505086
15,817,721,29.28674803,130.5422441,0.04669948,0.003182579
16,818,722,29.2837607,130.5444824,0.04539215,0.002901724
17,819,723,29.28077345,130.5467273,0.04364133,0.003524008
18,820,724,29.2777849,130.5489734,0.04169134,0.002328127
19,821,725,29.27479705,130.5512109,0.040231533,0.002747143
20,821,726,29.27221475,130.5507085,0.042749293,0.003065603
21,822,727,29.26922673,130.5529519,0.04137383,0.002712761
22,823,728,29.26623869,130.5551951,0.040848624,0.002131281
23,824,729,29.26325071,130.5574329,0.040492177,0.00129156
24,825,730,29.26026263,130.5596772,0.041004255,0.001863659
25,826,731,29.25727529,130.5619213,0.040229835,0.002662225
26,827,732,29.25428871,130.5641576,0.03686604,0.003244555
27,828,733,29.2512999,130.5664005,0.034143724,0.002875319
28,828,734,29.24871612,130.5659045,0.033132102,0.001768312
29,829,735,29.24572879,130.5681414,0.033001352,0.001826139
30,830,736,29.24274139,130.570378,0.032982007,0.001373496
31,831,737,29.23975406,130.5726206,0.034915682,0.001961832
