pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,3008,328,29.29181385,130.1967842,0.060877662,0.003261677
2,3009,328,29.29128558,130.1994965,0.062426366,0.004461188
3,3010,328,29.29075732,130.2022087,0.06266025,0.004188205
4,3011,329,29.28763963,130.2042641,0.06444049,0.004036098
5,3012,329,29.28711135,130.2069764,0.06310742,0.002983575
6,3013,329,29.28658308,130.2096886,0.06473156,0.004625927
7,3014,329,29.2860548,130.2124008,0.066327825,0.004913017
8,3015,329,29.28552653,130.215113,0.06743938,0.005426183
9,3016,330,29.28240898,130.2171675,0.065718494,0.003500833
10,3017,330,29.28188071,130.2198797,0.067382984,0.004655724
11,3018,330,29.28135245,130.2225918,0.06847596,0.004678778
12,3019,330,29.28082419,130.2253039,0.07038976,0.003943411
13,3020,330,29.28029592,130.228016,0.07274058,0.004908593
14,3021,331,29.27717848,130.2300711,0.075685844,0.00433328
15,3022,331,29.27665023,130.2327831,0.07600999,0.004705468
16,3023,331,29.27612198,130.2354951,0.07538438,0.004387971
17,3024,331,29.27559373,130.2382071,0.07597657,0.004047278
18,3025,331,29.27506548,130.2409191,0.076568775,0.00356617
19,3026,331,29.27453723,130.2436311,0.07816723,0.004500425
20,3027,332,29.27141911,130.2456877,0.07879243,0.004359983
21,3028,332,29.27089087,130.2483998,0.07976612,0.004719471
22,3029,332,29.27036264,130.2511118,0.07855827,0.005747916
23,3030,332,29.2698344,130.2538238,0.07640024,0.00603677
24,3031,332,29.26930617,130.2565358,0.072688304,0.003965405
25,3032,333,29.26618812,130.2585911,0.07269829,0.004142789
26,3033,333,29.2656599,130.2613031,0.0688933,0.006543657
27,3034,333,29.26513168,130.2640151,0.067037,0.007145788
28,3035,333,29.26460346,130.2667271,0.06391694,0.003844206
29,3036,333,29.26407523,130.2694391,0.06391694,0.003844206
30,3037,334,29.26095812,130.2714905,0.062153984,0.004015353
31,3038,334,29.26042989,130.2742024,0.0622257,0.005092461
32,3039,334,29.25990165,130.2769143,0.060715184,0.00469006
