pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2860,253,29.5633335,129.8433701,0.062865235,0.003249767
2,2860,254,29.56074404,129.8427229,0.064683005,0.003729635
3,2860,255,29.55815431,129.842083,0.06625894,0.003671756
4,2860,256,29.55556455,129.8414349,0.06787272,0.003569519
5,2860,257,29.5529748,129.8407859,0.06979831,0.00336774
6,2860,258,29.55038536,129.8401404,0.07148243,0.002873315
7,2860,259,29.54779674,129.8394944,0.072634995,0.002629777
8,2860,260,29.54520782,129.8388472,0.07349683,0.001884541
9,2860,261,29.5426171,129.8382007,0.07291499,0.002173757
10,2860,262,29.54002689,129.837558,0.072354615,0.002956986
11,2860,263,29.53743752,129.8369098,0.07219524,0.005644509
12,2860,264,29.53484838,129.8362642,0.07313345,0.006518039
13,2860,265,29.53225917,129.8356187,0.07283198,0.006421099
14,2860,266,29.5296698,129.8349723,0.072991356,0.00422912
15,2860,267,29.52708014,129.8343255,0.06939387,0.005830469
16,2860,268,29.52449026,129.833679,0.0659878,0.007237917
17,2860,269,29.52190038,129.8330359,0.062146306,0.003926628
18,2860,270,29.51931049,129.8323874,0.061633393,0.003627562
19,2860,271,29.51672038,129.8317414,0.060887266,0.003486022
20,2860,272,29.51412991,129.8310953,0.060617547,0.002927944
