pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2589,285,29.61603789,130.0179689,0.03621562,0.002240493
2,2589,286,29.61344705,130.0173435,0.036220815,0.002329966
3,2589,287,29.61085654,130.0167227,0.036529135,0.002598022
4,2589,288,29.60826603,130.0160973,0.036631946,0.001731869
5,2589,289,29.6056748,130.0154679,0.036647547,0.002053084
6,2589,290,29.60308474,130.0148419,0.036480006,0.001585003
7,2589,291,29.60049509,130.0142165,0.03663137,0.001690757
8,2589,292,29.59790464,130.0135911,0.03691889,0.001512809
9,2589,293,29.59531339,130.0129657,0.03692428,0.001654071
10,2589,294,29.5927218,130.0123364,0.037732452,0.002805327
11,2589,295,29.59013021,130.0117065,0.03801881,0.002511156
12,2589,296,29.58753896,130.0110811,0.039270297,0.00266432
13,2589,297,29.58494895,130.0104596,0.038613692,0.002117192
14,2589,298,29.58235895,130.0098388,0.03939867,0.002110875
15,2589,299,29.57976855,130.0092094,0.03970699,0.001890034
16,2589,300,29.57717781,130.0085795,0.040817894,0.001240516
17,2589,301,29.57458735,130.0079548,0.042445514,0.003703215
18,2589,302,29.57199655,130.0073294,0.043308463,0.003709074
19,2589,303,29.56940574,130.006704,0.04489842,0.003649311
20,2589,304,29.56681573,130.0060747,0.044452567,0.002238414
21,2589,305,29.56422425,130.0054454,0.044096123,0.002242017
22,2589,306,29.56163352,130.00482,0.044075772,0.001670785
23,2589,307,29.55904356,130.0041979,0.044458076,0.002314843
24,2589,308,29.55645241,130.003577,0.045171436,0.002144502
25,2589,309,29.5538628,130.0029477,0.04410833,0.002469273
26,2589,310,29.55127323,130.0023184,0.04286976,0.002173077
27,2589,311,29.54868174,130.001693,0.041318387,0.001407756
28,2589,312,29.54609065,130.001067,0.041312154,0.001168187
29,2589,313,29.54350035,130.0004416,0.041486926,0.001450565
30,2589,314,29.54090972,129.9998156,0.04151677,0.00219297
31,2589,315,29.53831981,129.9991868,0.04052803,0.002237109
32,2589,316,29.53572865,129.9985624,0.040202316,0.00221844
33,2589,317,29.53313715,129.9979409,0.039420445,0.002486512
34,2589,318,29.53054652,129.9973149,0.039583195,0.00255172
35,2589,319,29.52795508,129.9966883,0.038792,0.002494264
36,2589,320,29.52536443,129.9960629,0.038932778,0.002231671
37,2589,321,29.52277378,129.9954342,0.038293365,0.001851252
38,2589,322,29.52018307,129.9948049,0.038125027,0.001463997
39,2589,323,29.51759242,129.9941788,0.038108252,8.30E-04
40,2589,324,29.51500217,129.9935573,0.0378165,0.001369149
41,2589,325,29.51241238,129.9929365,0.038281776,0.001534902
42,2589,326,29.50982105,129.9923111,0.03813041,0.001603615
43,2589,327,29.50723,129.9916818,0.03784366,0.002027511
44,2589,328,29.50464008,129.9910525,0.037383974,0.001913942
45,2589,329,29.50204943,129.9904271,0.037378382,0.001780672
46,2589,330,29.49945883,129.9898011,0.037356816,0.001182731
47,2589,331,29.49686868,129.9891796,0.036615767,0.001281525
48,2589,332,29.49427769,129.9885582,0.036469795,0.001320393
49,2589,333,29.49168669,129.9879321,0.03632382,0.001340382
50,2589,334,29.48909648,129.9873039,0.03661057,0.001112652
51,2589,335,29.48650582,129.9866757,0.03587511,8.65E-04
52,2589,336,29.48391492,129.9860497,0.035880312,0.001077712
