pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,768,704,29.35048089,130.4163791,0.0346228,0.001631903
2,767,705,29.34830114,130.4131415,0.033928044,0.001474127
3,766,706,29.34612035,130.409901,0.034899704,0.001575105
4,765,706,29.3465214,130.4071582,0.035035465,0.001446983
5,764,707,29.34433994,130.4039204,0.036031485,0.001290384
6,763,708,29.34215923,130.4006829,0.039584614,0.002621532
7,762,709,29.33997846,130.3974512,0.042191613,0.002194737
8,761,710,29.33779703,130.394214,0.043350186,8.30E-04
9,760,710,29.33819813,130.3914716,0.043350186,8.30E-04
10,759,711,29.33601683,130.3882347,0.04460768,0.001582841
11,758,712,29.33383546,130.3849979,0.0458848,0.001641429
12,757,713,29.33165556,130.3817615,0.045553286,0.002469017
13,756,714,29.32947423,130.3785305,0.04238705,0.002750622
14,755,714,29.32987537,130.3757884,0.041186128,0.002279255
15,754,715,29.32769408,130.3725507,0.040528465,0.00226416
16,753,716,29.32551399,130.3693129,0.039509665,4.71E-04
17,752,717,29.3233334,130.3660766,0.040402956,0.002984952
18,751,717,29.32373458,130.3633346,0.040651042,0.004140663
19,750,718,29.32155392,130.3600993,0.041145727,0.004155448
20,749,719,29.31937273,130.3568692,0.040269192,0.003381731
21,748,720,29.31719215,130.3536337,0.03800641,0.002239807
22,747,721,29.31501207,130.3503985,0.036361564,0.002232845
23,746,721,29.31541328,130.347657,0.03589629,0.001579252
24,745,722,29.31323253,130.344422,0.035901487,0.001704906
25,744,723,29.31105151,130.3411882,0.036626358,0.001580358
