pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,556,792,29.21314709,129.7891917,0.032317355,0.00114225
2,555,791,29.2161181,129.7869292,0.033772934,8.99E-04
3,554,790,29.21908964,129.7846667,0.034738317,8.85E-04
4,553,789,29.22206141,129.7824055,0.03601589,6.57E-04
5,552,788,29.2250329,129.7801459,0.037670527,0.001539504
6,551,787,29.22800382,129.7778835,0.03843314,0.00144524
7,550,787,29.22839499,129.7751423,0.03986501,0.001889358
8,549,786,29.23136618,129.7728784,0.041010924,0.002053278
9,548,785,29.23433712,129.7706214,0.04151163,0.002121163
10,547,784,29.23730769,129.7683609,0.039678212,0.001017363
11,546,783,29.24027897,129.766097,0.040715266,0.002702538
12,545,782,29.2432506,129.7638363,0.041535243,0.002566839
13,544,781,29.24622219,129.7615756,0.04218066,0.002005067
14,543,780,29.24919338,129.7593106,0.04238104,0.002650718
15,542,779,29.25216452,129.7570453,0.042175103,0.001899649
16,541,778,29.25513537,129.7547837,0.041843157,0.002030489
17,540,778,29.25552645,129.7520419,0.04204866,0.002752101
18,539,777,29.25849682,129.7497811,0.043213274,0.002089893
19,538,776,29.26146783,129.7475195,0.041306145,9.00E-04
20,537,775,29.26443871,129.7452538,0.041312154,0.001168187
21,536,774,29.26740901,129.7429918,0.042705655,0.002281586
22,535,773,29.27037995,129.74073,0.042579643,0.00307274
23,534,772,29.27335109,129.7384638,0.043250002,0.002779005
24,533,771,29.27632202,129.7361973,0.042224087,0.002864719
25,532,770,29.27929291,129.733936,0.04087267,0.002605445
26,531,769,29.28226349,129.7316747,0.039840963,0.001126576
27,530,768,29.28523482,129.7294069,0.04031762,7.72E-04
28,529,768,29.28562575,129.7266645,0.040341668,0.001694291
29,528,767,29.28859712,129.724399,0.040848173,0.002100055
30,527,766,29.29156727,129.7221375,0.0405042,0.001672833
31,526,765,29.2945378,129.7198762,0.04052739,0.002197568
32,525,764,29.29750806,129.717608,0.0405218,0.002091999
33,524,763,29.30047851,129.7153395,0.040346824,0.001789914
34,523,762,29.30344962,129.713078,0.040207263,0.002280905
35,522,761,29.30642011,129.7108144,0.039404888,0.002256069
36,521,760,29.30938987,129.7085467,0.03985277,0.001535699
37,520,759,29.31236023,129.7062787,0.040021528,0.00176074
38,519,758,29.31533056,129.7040158,0.039538857,0.001696424
39,518,758,29.31572138,129.7012726,0.03952705,0.001334286
40,517,757,29.31869179,129.6990094,0.038887642,0.001040222
41,516,756,29.32166286,129.6967397,0.039212935,0.001419703
42,515,755,29.32463323,129.6944777,0.037259176,0.002386873
43,514,754,29.32760358,129.6922145,0.036518518,0.002423969
44,513,753,29.33057391,129.6899442,0.035593558,0.001117559
45,512,752,29.33354422,129.687675,0.036161866,6.92E-04
46,511,751,29.33651268,129.685411,0.03633403,0.00160274
47,510,750,29.33947857,129.6831459,0.036219835,0.002276137
48,509,749,29.34244516,129.6808737,0.03753996,0.001988893
49,508,749,29.34283225,129.6781285,0.038270794,0.001201613
50,507,748,29.34579877,129.6758563,0.036761742,0.001221979
51,506,747,29.34876469,129.6735907,0.035090826,0.002513681
52,505,746,29.35173199,129.6713249,0.033546187,0.00206418
53,504,745,29.35469849,129.6690535,0.0333703,0.001002327
54,503,744,29.35766442,129.666781,0.0335109,0.001200109
