pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2433,273,29.72495576,129.5995415,0.0378165,0.001369149
2,2434,274,29.72186775,129.6016628,0.038266607,0.003840787
3,2434,275,29.71927662,129.6010441,0.039311558,0.003310891
4,2435,276,29.71619019,129.6031571,0.039736833,0.002529174
5,2436,277,29.71310382,129.6052781,0.037956886,9.20E-04
6,2437,278,29.71001741,129.6073924,0.03796827,0.001367818
7,2437,279,29.70742632,129.6067739,0.038904615,0.00159887
8,2438,280,29.70433909,129.6088937,0.039055776,0.001422248
9,2439,281,29.70125267,129.6110074,0.040166464,0.001248467
10,2439,282,29.69866223,129.6103887,0.042244885,0.00326454
11,2440,283,29.69557645,129.612509,0.044646714,0.002534137
12,2441,284,29.69249009,129.6146217,0.04340051,0.00235276
13,2442,285,29.68940303,129.616733,0.043413673,0.002630507
14,2442,286,29.68681221,129.6161216,0.04236927,0.002454869
15,2443,287,29.6837252,129.618241,0.041324396,0.001592409
16,2444,288,29.68063801,129.6203544,0.039521255,0.001122871
17,2445,289,29.67755215,129.6224669,0.037832677,0.001785476
18,2445,290,29.67496181,129.6218523,0.037362207,0.001356798
19,2446,291,29.6718749,129.6239643,0.037524957,0.00170972
20,2447,292,29.66878861,129.6260777,0.03695665,0.002331443
21,2447,293,29.66619763,129.6254665,0.037108406,0.002391027
22,2448,294,29.66311019,129.6275792,0.03589629,0.001579252
23,2449,295,29.66002344,129.6296891,0.03503566,0.001463293
24,2450,296,29.65693658,129.631806,0.03431599,6.22E-04
25,2450,297,29.65434583,129.6311878,0.03431599,6.22E-04
26,2451,298,29.65125929,129.6332977,0.03417521,4.07E-04
