CAST                        ,,19072226,WOD Unique Cast Number,WOD code,,,,,,,,,,,,,,,,,,,,,,,
9,0.6,0,1,   ---0---,0,1,   ---0---,0,1,178.656,0,1,   ---0---,0,1,0.482,0,1,0.6,0,1,,,,,,
10,0.8,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,0.526,0,1,0.8,0,1,,,,,,
11,0.9,0,1,   ---0---,0,1,   ---0---,0,1,178.735,0,1,   ---0---,0,1,0.438,0,1,0.9,0,1,,,,,,
12,1,0,1,   ---0---,0,1,   ---0---,0,1,178.479,0,1,   ---0---,0,1,   ---0---,0,1,1,0,1,,,,,,
13,1.1,0,1,   ---0---,0,1,   ---0---,0,1,178.455,0,1,   ---0---,0,1,0.54,0,1,1.1,0,1,,,,,,
14,1.2,0,1,   ---0---,0,1,   ---0---,0,1,178.747,0,1,   ---0---,0,1,0.533,0,1,1.2,0,1,,,,,,
15,1.2,0,1,21.4,0,1,34.757,0,1,   ---0---,0,1,8.624,0,1,   ---0---,0,1,1.2,0,1,,,,,,
16,1.3,0,1,   ---0---,0,1,   ---0---,0,1,178.793,0,1,   ---0---,0,1,   ---0---,0,1,1.3,0,1,,,,,,
17,1.4,0,1,   ---0---,0,1,   ---0---,0,1,178.51,0,1,   ---0---,0,1,0.54,0,1,1.4,0,1,,,,,,
18,1.5,0,1,21.4,0,1,34.757,0,1,178.758,0,1,   ---0---,0,1,0.533,0,1,1.5,0,1,,,,,,
19,1.7,0,1,   ---0---,0,1,   ---0---,0,1,178.751,0,1,   ---0---,0,1,0.489,0,1,1.7,0,1,,,,,,
20,1.9,0,1,   ---0---,0,1,   ---0---,0,1,178.512,0,1,   ---0---,0,1,0.548,0,1,1.9,0,1,,,,,,
21,2,0,1,   ---0---,0,1,   ---0---,0,1,178.523,0,1,   ---0---,0,1,0.511,0,1,2,0,1,,,,,,
22,2.1,0,1,   ---0---,0,1,   ---0---,0,1,178.5,0,1,   ---0---,0,1,0.526,0,1,2.1,0,1,,,,,,
23,2.2,0,1,   ---0---,0,1,   ---0---,0,1,178.456,0,1,   ---0---,0,1,   ---0---,0,1,2.2,0,1,,,,,,
24,2.4,0,1,   ---0---,0,1,   ---0---,0,1,178.449,0,1,   ---0---,0,1,0.518,0,1,2.4,0,1,,,,,,
25,2.5,0,1,21.4,0,1,34.757,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,2.5,0,1,,,,,,
26,2.6,0,1,   ---0---,0,1,   ---0---,0,1,178.511,0,1,   ---0---,0,1,0.54,0,1,2.6,0,1,,,,,,
27,2.7,0,1,   ---0---,0,1,   ---0---,0,1,178.489,0,1,   ---0---,0,1,0.555,0,1,2.7,0,1,,,,,,
28,2.8,0,1,   ---0---,0,1,   ---0---,0,1,178.505,0,1,   ---0---,0,1,0.511,0,1,2.8,0,1,,,,,,
29,3,0,1,   ---0---,0,1,   ---0---,0,1,178.505,0,1,   ---0---,0,1,0.533,0,1,3,0,1,,,,,,
30,3.2,0,1,   ---0---,0,1,   ---0---,0,1,178.521,0,1,   ---0---,0,1,0.526,0,1,3.2,0,1,,,,,,
31,3.2,0,1,21.4,0,1,34.756,0,1,   ---0---,0,1,8.621,0,1,   ---0---,0,1,3.2,0,1,,,,,,
32,3.4,0,1,   ---0---,0,1,   ---0---,0,1,178.523,0,1,   ---0---,0,1,0.526,0,1,3.4,0,1,,,,,,
33,3.5,0,1,21.4,0,1,34.757,0,1,178.471,0,1,   ---0---,0,1,0.533,0,1,3.5,0,1,,,,,,
34,3.6,0,1,   ---0---,0,1,   ---0---,0,1,178.519,0,1,   ---0---,0,1,0.562,0,1,3.6,0,1,,,,,,
35,3.8,0,1,   ---0---,0,1,   ---0---,0,1,178.473,0,1,   ---0---,0,1,0.518,0,1,3.8,0,1,,,,,,
36,3.9,0,1,   ---0---,0,1,   ---0---,0,1,178.444,0,1,   ---0---,0,1,0.533,0,1,3.9,0,1,,,,,,
37,4.1,0,1,   ---0---,0,1,   ---0---,0,1,178.467,0,1,   ---0---,0,1,0.548,0,1,4.1,0,1,,,,,,
38,4.2,0,1,   ---0---,0,1,   ---0---,0,1,178.536,0,1,   ---0---,0,1,0.526,0,1,4.2,0,1,,,,,,
39,4.3,0,1,   ---0---,0,1,   ---0---,0,1,178.418,0,1,   ---0---,0,1,   ---0---,0,1,4.3,0,1,,,,,,
40,4.4,0,1,   ---0---,0,1,   ---0---,0,1,178.44,0,1,   ---0---,0,1,0.54,0,1,4.4,0,1,,,,,,
41,4.5,0,1,21.4,0,1,34.757,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,4.5,0,1,,,,,,
42,4.6,0,1,   ---0---,0,1,   ---0---,0,1,178.435,0,1,   ---0---,0,1,0.54,0,1,4.6,0,1,,,,,,
43,4.7,0,1,   ---0---,0,1,   ---0---,0,1,178.449,0,1,   ---0---,0,1,0.518,0,1,4.7,0,1,,,,,,
44,4.9,0,1,   ---0---,0,1,   ---0---,0,1,178.437,0,1,   ---0---,0,1,0.526,0,1,4.9,0,1,,,,,,
45,4.9,0,1,21.4,0,1,34.757,0,1,   ---0---,0,1,8.75,0,1,   ---0---,0,1,4.9,0,1,,,,,,
46,5,0,1,   ---0---,0,1,   ---0---,0,1,178.414,0,1,   ---0---,0,1,0.533,0,1,5,0,1,,,,,,
47,5.2,0,1,   ---0---,0,1,   ---0---,0,1,178.437,0,1,   ---0---,0,1,0.518,0,1,5.2,0,1,,,,,,
48,5.3,0,1,   ---0---,0,1,   ---0---,0,1,178.431,0,1,   ---0---,0,1,0.548,0,1,5.3,0,1,,,,,,
49,5.4,0,1,   ---0---,0,1,   ---0---,0,1,178.4,0,1,   ---0---,0,1,   ---0---,0,1,5.4,0,1,,,,,,
50,5.5,0,1,21.4,0,1,34.758,0,1,178.401,0,1,   ---0---,0,1,0.54,0,1,5.5,0,1,,,,,,
51,5.6,0,1,   ---0---,0,1,   ---0---,0,1,178.447,0,1,   ---0---,0,1,0.533,0,1,5.6,0,1,,,,,,
52,5.8,0,1,   ---0---,0,1,   ---0---,0,1,178.418,0,1,   ---0---,0,1,0.518,0,1,5.8,0,1,,,,,,
53,5.9,0,1,   ---0---,0,1,   ---0---,0,1,178.388,0,1,   ---0---,0,1,0.548,0,1,5.9,0,1,,,,,,
54,6.1,0,1,   ---0---,0,1,   ---0---,0,1,178.441,0,1,   ---0---,0,1,0.54,0,1,6.1,0,1,,,,,,
55,6.2,0,1,   ---0---,0,1,   ---0---,0,1,178.412,0,1,   ---0---,0,1,0.526,0,1,6.2,0,1,,,,,,
56,6.4,0,1,21.4,0,1,34.759,0,1,   ---0---,0,1,8.64,0,1,   ---0---,0,1,6.5,0,1,,,,,,
57,6.5,0,1,21.4,0,1,34.758,0,1,178.437,0,1,   ---0---,0,1,0.555,0,1,6.5,0,1,,,,,,
58,6.6,0,1,   ---0---,0,1,   ---0---,0,1,178.445,0,1,   ---0---,0,1,0.533,0,1,6.6,0,1,,,,,,
59,6.8,0,1,   ---0---,0,1,   ---0---,0,1,178.454,0,1,   ---0---,0,1,0.533,0,1,6.8,0,1,,,,,,
60,7,0,1,   ---0---,0,1,   ---0---,0,1,178.402,0,1,   ---0---,0,1,0.54,0,1,7,0,1,,,,,,
61,7.1,0,1,   ---0---,0,1,   ---0---,0,1,178.403,0,1,   ---0---,0,1,0.569,0,1,7.1,0,1,,,,,,
62,7.2,0,1,   ---0---,0,1,   ---0---,0,1,178.404,0,1,   ---0---,0,1,   ---0---,0,1,7.2,0,1,,,,,,
63,7.3,0,1,   ---0---,0,1,   ---0---,0,1,178.441,0,1,   ---0---,0,1,0.526,0,1,7.3,0,1,,,,,,
64,7.4,0,1,   ---0---,0,1,   ---0---,0,1,178.397,0,1,   ---0---,0,1,0.526,0,1,7.5,0,1,,,,,,
65,7.5,0,1,21.4,0,1,34.757,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,7.6,0,1,,,,,,
66,7.6,0,1,   ---0---,0,1,   ---0---,0,1,178.451,0,1,   ---0---,0,1,0.54,0,1,7.7,0,1,,,,,,
67,7.7,0,1,   ---0---,0,1,   ---0---,0,1,178.415,0,1,   ---0---,0,1,0.526,0,1,7.8,0,1,,,,,,
68,7.8,0,1,   ---0---,0,1,   ---0---,0,1,178.431,0,1,   ---0---,0,1,0.533,0,1,7.9,0,1,,,,,,
69,7.9,0,1,   ---0---,0,1,   ---0---,0,1,178.445,0,1,   ---0---,0,1,0.518,0,1,8,0,1,,,,,,
70,8,0,1,21.4,0,1,34.756,0,1,   ---0---,0,1,8.679,0,1,   ---0---,0,1,8,0,1,,,,,,
71,8.1,0,1,   ---0---,0,1,   ---0---,0,1,178.433,0,1,   ---0---,0,1,0.54,0,1,8.2,0,1,,,,,,
72,8.3,0,1,   ---0---,0,1,   ---0---,0,1,178.486,0,1,   ---0---,0,1,0.518,0,1,8.4,0,1,,,,,,
73,8.4,0,1,21.4,0,1,34.757,0,1,178.435,0,1,   ---0---,0,1,   ---0---,0,1,8.5,0,1,,,,,,
74,8.5,0,1,   ---0---,0,1,   ---0---,0,1,178.436,0,1,   ---0---,0,1,0.518,0,1,8.6,0,1,,,,,,
75,8.7,0,1,   ---0---,0,1,   ---0---,0,1,178.549,0,1,   ---0---,0,1,0.526,0,1,8.8,0,1,,,,,,
76,8.9,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,0.533,0,1,9,0,1,,,,,,
77,9,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,1.584,1,1,9.1,0,1,,,,,,
78,9.1,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,0.526,0,1,9.2,0,1,,,,,,
79,9.3,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,0.511,0,1,9.4,0,1,,,,,,
80,9.4,0,1,21.4,0,1,34.757,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,9.5,0,1,,,,,,
