VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,Nitrate    ,F,O,Chlorophyl ,F,O,Pressure   ,F,O,,,,,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,ug/l      ,, , ,dbar      ,, , 
27,2.8,0,1,   ---0---,0,1,   ---0---,0,1,178.293,0,1,   ---0---,0,1,0.562,0,1,2.8,0,1,,,,,,
28,2.9,0,1,   ---0---,0,1,   ---0---,0,1,178.279,0,1,   ---0---,0,1,0.518,0,1,2.9,0,1,,,,,,
29,3.1,0,1,   ---0---,0,1,   ---0---,0,1,178.316,0,1,   ---0---,0,1,0.555,0,1,3.1,0,1,,,,,,
30,3.2,0,1,   ---0---,0,1,   ---0---,0,1,178.301,0,1,   ---0---,0,1,0.591,0,1,3.2,0,1,,,,,,
31,3.3,0,1,   ---0---,0,1,   ---0---,0,1,178.319,0,1,   ---0---,0,1,0.496,0,1,3.3,0,1,,,,,,
32,3.5,0,1,20.93,0,1,34.781,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,3.5,0,1,,,,,,
33,3.6,0,1,   ---0---,0,1,   ---0---,0,1,178.334,0,1,   ---0---,0,1,0.548,0,1,3.6,0,1,,,,,,
34,3.7,0,1,   ---0---,0,1,   ---0---,0,1,178.252,0,1,   ---0---,0,1,0.511,0,1,3.7,0,1,,,,,,
35,3.9,0,1,   ---0---,0,1,   ---0---,0,1,178.269,0,1,   ---0---,0,1,0.562,0,1,3.9,0,1,,,,,,
36,4.1,0,1,   ---0---,0,1,   ---0---,0,1,178.307,0,1,   ---0---,0,1,0.504,0,1,4.1,0,1,,,,,,
37,4.2,0,1,   ---0---,0,1,   ---0---,0,1,178.284,0,1,   ---0---,0,1,0.599,0,1,4.2,0,1,,,,,,
38,4.2,0,1,20.93,0,1,34.782,0,1,   ---0---,0,1,8.781,0,1,   ---0---,0,1,4.2,0,1,,,,,,
39,4.4,0,1,   ---0---,0,1,   ---0---,0,1,178.279,0,1,   ---0---,0,1,0.526,0,1,4.4,0,1,,,,,,
40,4.5,0,1,20.93,0,1,34.781,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,4.5,0,1,,,,,,
41,4.6,0,1,   ---0---,0,1,   ---0---,0,1,178.278,0,1,   ---0---,0,1,0.562,0,1,4.6,0,1,,,,,,
42,4.8,0,1,   ---0---,0,1,   ---0---,0,1,178.258,0,1,   ---0---,0,1,0.526,0,1,4.8,0,1,,,,,,
43,4.9,0,1,   ---0---,0,1,   ---0---,0,1,178.31,0,1,   ---0---,0,1,0.511,0,1,4.9,0,1,,,,,,
44,5,0,1,   ---0---,0,1,   ---0---,0,1,178.304,0,1,   ---0---,0,1,   ---0---,0,1,5,0,1,,,,,,
45,5.2,0,1,   ---0---,0,1,   ---0---,0,1,178.224,0,1,   ---0---,0,1,0.569,0,1,5.2,0,1,,,,,,
46,5.4,0,1,20.93,0,1,34.78,0,1,178.301,0,1,   ---0---,0,1,0.526,0,1,5.4,0,1,,,,,,
47,5.6,0,1,   ---0---,0,1,   ---0---,0,1,178.242,0,1,   ---0---,0,1,0.533,0,1,5.6,0,1,,,,,,
48,5.7,0,1,   ---0---,0,1,   ---0---,0,1,178.297,0,1,   ---0---,0,1,0.518,0,1,5.7,0,1,,,,,,
49,6,0,1,   ---0---,0,1,   ---0---,0,1,178.299,0,1,   ---0---,0,1,0.504,0,1,6,0,1,,,,,,
50,6.1,0,1,   ---0---,0,1,   ---0---,0,1,178.269,0,1,   ---0---,0,1,0.569,0,1,6.1,0,1,,,,,,
51,6.2,0,1,   ---0---,0,1,   ---0---,0,1,178.275,0,1,   ---0---,0,1,0.511,0,1,6.2,0,1,,,,,,
52,6.2,0,1,20.93,0,1,34.783,0,1,   ---0---,0,1,8.709,0,1,   ---0---,0,1,6.2,0,1,,,,,,
53,6.3,0,1,   ---0---,0,1,   ---0---,0,1,178.345,0,1,   ---0---,0,1,0.533,0,1,6.3,0,1,,,,,,
54,6.4,0,1,20.93,0,1,34.781,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,6.4,0,1,,,,,,
55,6.5,0,1,   ---0---,0,1,   ---0---,0,1,178.24,0,1,   ---0---,0,1,0.577,0,1,6.5,0,1,,,,,,
56,6.6,0,1,   ---0---,0,1,   ---0---,0,1,178.292,0,1,   ---0---,0,1,0.518,0,1,6.6,0,1,,,,,,
57,6.8,0,1,   ---0---,0,1,   ---0---,0,1,178.248,0,1,   ---0---,0,1,0.54,0,1,6.8,0,1,,,,,,
58,6.9,0,1,   ---0---,0,1,   ---0---,0,1,178.264,0,1,   ---0---,0,1,0.599,0,1,6.9,0,1,,,,,,
59,7,0,1,   ---0---,0,1,   ---0---,0,1,178.243,0,1,   ---0---,0,1,0.533,0,1,7,0,1,,,,,,
60,7.1,0,1,   ---0---,0,1,   ---0---,0,1,178.295,0,1,   ---0---,0,1,   ---0---,0,1,7.1,0,1,,,,,,
61,7.3,0,1,   ---0---,0,1,   ---0---,0,1,178.223,0,1,   ---0---,0,1,0.526,0,1,7.3,0,1,,,,,,
62,7.4,0,1,   ---0---,0,1,   ---0---,0,1,178.247,0,1,   ---0---,0,1,0.569,0,1,7.4,0,1,,,,,,
63,7.4,0,1,20.93,0,1,34.781,0,1,   ---0---,0,1,   ---0---,0,1,   ---0---,0,1,7.5,0,1,,,,,,
64,7.5,0,1,20.93,0,1,34.78,0,1,   ---0---,0,1,8.769,0,1,   ---0---,0,1,7.6,0,1,,,,,,
65,7.5,0,1,   ---0---,0,1,   ---0---,0,1,178.24,0,1,   ---0---,0,1,0.548,0,1,7.6,0,1,,,,,,
66,7.6,0,1,   ---0---,0,1,   ---0---,0,1,178.247,0,1,   ---0---,0,1,0.533,0,1,7.7,0,1,,,,,,
67,7.7,0,1,   ---0---,0,1,   ---0---,0,1,178.175,0,1,   ---0---,0,1,0.518,0,1,7.8,0,1,,,,,,
68,7.8,0,1,   ---0---,0,1,   ---0---,0,1,178.294,0,1,   ---0---,0,1,0.504,0,1,7.9,0,1,,,,,,
69,7.9,0,1,   ---0---,0,1,   ---0---,0,1,178.258,0,1,   ---0---,0,1,0.548,0,1,8,0,1,,,,,,
70,8.1,0,1,   ---0---,0,1,   ---0---,0,1,178.251,0,1,   ---0---,0,1,0.548,0,1,8.2,0,1,,,,,,
71,8.2,0,1,   ---0---,0,1,   ---0---,0,1,178.289,0,1,   ---0---,0,1,0.511,0,1,8.3,0,1,,,,,,
72,8.3,0,1,   ---0---,0,1,   ---0---,0,1,178.253,0,1,   ---0---,0,1,0.511,0,1,8.4,0,1,,,,,,
73,8.4,0,1,20.93,0,1,34.782,0,1,   ---0---,0,1,8.787,0,1,   ---0---,0,1,8.4,0,1,,,,,,
74,8.4,0,1,20.94,0,1,34.78,0,1,178.276,0,1,   ---0---,0,1,0.526,0,1,8.5,0,1,,,,,,
