2016JD  theta1  r1  theta2  r2 theta3 r3
134 74.295465 0.366759 115.538930 0.075854 81.716953 0.303620
135 75.036753 0.357366 112.451315 0.085049 83.623128 0.291607
136 75.937827 0.356600 110.934069 0.090073 86.184435 0.292355
137 76.342382 0.354552 107.248519 0.101563 88.078283 0.282869
138 77.538861 0.359232 112.522435 0.110490 89.682449 0.284823
139 78.586360 0.363526 114.025991 0.116118 91.331160 0.287382
140 79.315194 0.371928 116.498242 0.118895 92.241733 0.295948
141 79.741342 0.377808 122.602074 0.116926 92.205603 0.298381
142 80.044344 0.383364 124.818038 0.114121 91.330642 0.303489
143 80.806778 0.389973 125.244828 0.110706 91.474686 0.308359
144 80.578742 0.397886 123.607792 0.102849 90.839044 0.315270
145 81.412285 0.403787 121.926449 0.096562 92.890567 0.323419
146 81.416865 0.414198 120.970962 0.095457 93.338936 0.339059
147 81.268185 0.423506 121.547990 0.093346 93.473303 0.354568
148 80.345327 0.430369 118.988336 0.094056 92.820886 0.365073
149 79.905590 0.438318 116.636547 0.091389 92.481171 0.376081
150 78.492764 0.441372 116.056166 0.097433 91.618532 0.381948
151 77.198976 0.444858 117.666828 0.104312 91.092741 0.386780
152 75.572013 0.446871 117.471798 0.108094 89.778096 0.391605
153 74.164418 0.449581 119.111061 0.110893 89.280828 0.395700
154 73.310754 0.449690 121.699735 0.118428 89.751396 0.398385
155 71.849086 0.446449 120.414243 0.127408 89.400423 0.395900
156 71.094711 0.437873 118.604993 0.140115 90.511469 0.392882
157 70.013025 0.434749 116.233603 0.151137 90.737906 0.387504
158 68.732891 0.430664 114.518595 0.159300 91.434442 0.375027
159 67.943805 0.428351 111.577100 0.163642 91.772107 0.366411
160 67.742104 0.430178 109.304593 0.159389 91.825119 0.360407
161 67.488547 0.427181 104.700747 0.159041 92.029512 0.348259
162 67.522873 0.423929 99.570956 0.154990 91.582572 0.335535
163 68.618800 0.420051 95.650209 0.150119 92.410345 0.328870
164 68.925134 0.415922 90.376653 0.141091 91.168027 0.317935
165 70.082360 0.413553 84.081432 0.131649 89.682880 0.313602
166 71.266713 0.407369 79.846322 0.117889 88.325681 0.307212
167 72.597030 0.404937 73.456398 0.103312 86.769909 0.305934
168 73.482559 0.397683 67.549378 0.095833 84.877539 0.296723
169 74.592760 0.389632 64.430081 0.087486 83.039619 0.292297
170 75.504313 0.384010 65.742781 0.082211 82.213246 0.288308
171 75.861293 0.374349 68.884932 0.079294 80.942721 0.279065
172 75.949731 0.365821 73.065939 0.074613 79.806322 0.277250
173 76.316632 0.357301 77.488988 0.077703 79.393929 0.277595
174 76.660572 0.354321 85.192302 0.078300 80.085041 0.277717
175 76.517977 0.354893 93.141880 0.083746 80.412488 0.280719
176 76.037597 0.357328 98.000275 0.089562 81.599162 0.282118
177 76.292400 0.365268 104.707842 0.093682 83.536440 0.289531
178 76.314256 0.371871 109.712767 0.102985 85.899662 0.297755
179 76.157017 0.381001 113.025250 0.109048 87.851317 0.307297
180 76.175639 0.393174 115.063619 0.116489 89.639532 0.317899
181 76.331243 0.403260 117.110080 0.124116 91.121998 0.330004
182 76.628463 0.410569 118.133990 0.130833 92.806659 0.341929
183 77.042032 0.419744 119.311646 0.132338 93.894611 0.353349
184 77.149046 0.422332 117.451630 0.138444 93.987579 0.354026
185 77.195818 0.426620 117.790978 0.143969 94.488040 0.361079
186 77.581895 0.432476 115.601507 0.142279 94.475931 0.368247
187 77.603404 0.434313 113.304636 0.142953 93.725460 0.372337
188 77.977938 0.436076 110.040664 0.141178 93.276940 0.378164
189 78.077894 0.432746 104.847028 0.142904 93.081618 0.374072
190 78.375163 0.427462 102.864798 0.145059 93.419106 0.369763
191 78.284497 0.420847 99.607967 0.150204 93.471174 0.365757
192 77.705227 0.414042 96.514622 0.150718 93.325893 0.357214
193 77.036916 0.405259 94.493415 0.155435 93.536504 0.347815
194 76.675222 0.396658 95.062325 0.162173 94.662669 0.340408
195 76.325683 0.394834 95.444839 0.167225 95.997467 0.339741
196 75.999854 0.393352 94.684644 0.171510 97.183402 0.337914
197 75.945772 0.394271 95.104188 0.175037 98.110590 0.337151
198 76.268119 0.397569 96.032336 0.175469 98.405192 0.339439
199 76.500494 0.402931 96.492878 0.178812 98.943254 0.340687
200 76.355608 0.410466 95.691342 0.174726 99.171951 0.341075
201 76.358267 0.415241 94.831494 0.174086 99.841200 0.343384
202 76.370758 0.422589 93.496669 0.166665 99.798449 0.347623
203 76.200334 0.429096 93.017149 0.160540 99.843260 0.353772
204 77.003724 0.434690 92.639158 0.149471 100.551365 0.357955
205 77.018821 0.439210 90.457555 0.141502 100.924241 0.364799
206 77.044631 0.443015 88.305518 0.133666 100.753953 0.369281
207 76.518762 0.447225 88.032727 0.126935 100.274138 0.373900
208 76.203250 0.446485 88.105990 0.127002 99.974417 0.379312
209 76.059095 0.444933 87.597919 0.123056 99.046837 0.379307
210 75.632800 0.444593 88.198324 0.123966 98.093776 0.380259
211 75.057533 0.443198 88.265553 0.127696 97.321747 0.380419
212 74.549409 0.440000 90.292546 0.131222 96.271658 0.379627
213 73.929203 0.436747 90.914955 0.136207 95.156354 0.375632
214 72.746079 0.434465 90.614400 0.139186 93.900744 0.370539
215 72.218295 0.433441 90.761794 0.140650 92.881841 0.365929
216 71.728941 0.434277 92.586514 0.139825 91.593225 0.361552
217 71.437467 0.433685 92.352588 0.141051 90.208318 0.356898
218 71.056620 0.435406 93.869505 0.138032 88.933644 0.356305
219 70.502332 0.438474 95.930013 0.138099 87.560677 0.360991
220 69.182583 0.434786 98.222052 0.144081 86.295115 0.353288
221 68.467800 0.432711 99.825621 0.151157 86.063598 0.351546
222 67.656340 0.428300 100.935510 0.162358 86.120794 0.345248
223 67.225190 0.423317 101.281783 0.172644 86.675849 0.341756
224 66.682785 0.415083 101.944797 0.182527 87.130111 0.334973
225 66.440641 0.411245 99.364566 0.188857 87.769443 0.329485
226 66.827270 0.407655 96.286021 0.185425 87.923892 0.325132
227 67.425781 0.405161 92.228287 0.185373 88.360681 0.319678
228 68.649084 0.405227 89.096432 0.178350 88.643522 0.316015
229 69.907908 0.408903 85.187944 0.168797 88.061871 0.315885
230 71.169387 0.416541 79.873382 0.155269 86.259852 0.320251
231 72.282542 0.421406 70.702736 0.141413 84.097682 0.323132
232 73.778414 0.425608 64.250814 0.129635 82.487431 0.329070
233 74.878026 0.432632 59.342226 0.120105 80.533022 0.341974
234 75.967392 0.436119 54.177370 0.112079 79.379176 0.351403
235 75.860068 0.435221 50.420556 0.111195 78.443214 0.353318
236 75.335025 0.434172 50.746621 0.115251 78.347114 0.351516
237 74.911373 0.435521 49.435169 0.112058 78.126902 0.354450
238 74.489772 0.437300 50.648209 0.114378 78.773527 0.355502
239 73.931968 0.438859 51.382829 0.110705 79.523993 0.355512
240 73.979428 0.441709 49.745152 0.107360 80.283231 0.355031
241 73.963623 0.442942 49.268355 0.110966 82.119464 0.351426
242 75.006713 0.441056 48.834658 0.111943 83.863154 0.345015
243 75.556476 0.442422 48.859898 0.109978 85.937262 0.344530
244 75.900201 0.436456 48.396131 0.111457 88.510364 0.335490
245 76.133741 0.431494 49.613833 0.111002 91.916950 0.333396
246 75.973572 0.428341 55.950912 0.111984 94.055590 0.337932
247 75.181146 0.421202 65.634112 0.112522 96.433381 0.339162
248 74.350592 0.420389 71.514826 0.110027 97.787865 0.351874
249 73.328976 0.413370 80.647223 0.123390 100.586639 0.354586
250 72.093268 0.404365 84.820763 0.139994 102.147630 0.347970
251 71.561797 0.399725 85.744137 0.154358 104.192730 0.345270
252 70.939068 0.394649 87.792191 0.165871 105.017719 0.335406
253 70.211304 0.392118 85.864283 0.174572 104.662189 0.322970
254 69.832828 0.392030 83.494691 0.173110 103.253358 0.305437
255 70.327800 0.394748 77.632415 0.167871 100.731753 0.296936
256 71.710788 0.395923 72.082274 0.154924 98.292973 0.290564
257 71.940282 0.400469 66.163300 0.141866 94.564614 0.291040
258 72.059580 0.403539 59.795491 0.123502 91.299551 0.289122
259 72.328014 0.406339 53.166584 0.107583 88.502161 0.294667
260 72.231974 0.408494 48.000955 0.094479 85.673676 0.299367
261 71.229888 0.407730 47.839338 0.085077 83.731717 0.305033
262 70.276356 0.399218 54.991162 0.083031 83.272078 0.309359
263 69.391976 0.396137 63.059804 0.078378 82.624608 0.314252
264 68.635367 0.387348 73.752368 0.085672 83.150012 0.309401
265 68.185466 0.382480 78.351825 0.093932 84.107761 0.308631
266 67.283153 0.378593 80.897655 0.106891 85.235362 0.306882
267 66.284698 0.378490 80.362795 0.119841 86.807413 0.304308
268 65.819612 0.380211 79.746709 0.128975 88.615513 0.299768
269 65.315279 0.380893 80.605686 0.136772 90.554122 0.293461
270 65.870430 0.380593 80.069949 0.138101 93.197157 0.292603
271 66.641642 0.380757 79.322597 0.134392 95.017742 0.287437
272 67.113275 0.383164 75.621757 0.128704 94.509255 0.278252
273 68.279187 0.383000 70.489842 0.116027 95.454608 0.270439
274 70.422651 0.388963 64.620803 0.100482 96.136476 0.274875
275 72.167697 0.393049 56.904562 0.086922 95.076382 0.275165
276 73.474777 0.398123 46.302862 0.078447 92.826588 0.279216
277 74.896079 0.402750 34.018981 0.072350 91.647219 0.283358
278 75.703968 0.407696 21.731462 0.072632 90.934406 0.291127
279 76.177930 0.411676 13.510375 0.077626 90.090880 0.295712
280 76.588289 0.415497 6.713736 0.081559 90.340362 0.303010
281 76.155537 0.418964 4.202311 0.090340 90.523421 0.307546
282 75.872373 0.422272 0.662274 0.098412 90.670620 0.311852
283 74.603802 0.430449 176.534656 0.108115 89.358708 0.316753
284 74.024232 0.434866 172.412744 0.114041 88.346199 0.318035
285 73.934254 0.438896 169.802271 0.122355 86.210143 0.319623
286 74.451497 0.438794 167.044084 0.128445 85.103597 0.317695
287 75.309886 0.437126 164.763984 0.131528 83.615728 0.316815
288 75.701359 0.434061 164.071875 0.129869 82.264786 0.314046
289 75.496440 0.426720 164.503258 0.126346 81.051154 0.311945
290 75.664097 0.417899 163.244660 0.119109 79.934538 0.306438
291 75.343086 0.408236 162.353159 0.111505 78.815134 0.303549
292 75.283139 0.397935 164.375560 0.102560 78.281022 0.301980
293 74.695757 0.389505 165.521707 0.090615 77.368197 0.301837
294 73.995119 0.380120 166.456544 0.083823 76.410160 0.301143
295 73.312934 0.369166 173.653870 0.071923 76.680323 0.300089
296 72.602218 0.359617 3.418842 0.064392 77.158856 0.296611
297 72.410014 0.352200 10.825596 0.060031 77.723909 0.291406
298 72.583924 0.343775 21.357555 0.056811 78.458283 0.286372
299 73.064029 0.339566 30.347991 0.059124 79.016281 0.282045
300 73.909244 0.337628 33.513182 0.062662 79.316436 0.277595
301 74.841190 0.335207 37.073345 0.065337 79.786023 0.271912
302 75.289830 0.335556 34.737633 0.070163 79.348075 0.269818
303 76.047072 0.335080 32.377346 0.075272 79.157761 0.265315
304 76.271523 0.339857 29.077675 0.076585 78.797437 0.262633
305 76.655696 0.341240 24.747258 0.081805 78.866124 0.259399
306 76.708590 0.341263 26.182069 0.081959 79.426839 0.256844
307 76.306438 0.340479 30.952008 0.075274 80.274218 0.256568
308 75.869911 0.335448 40.385650 0.073920 81.868980 0.252325
309 74.793029 0.331174 54.834703 0.077135 83.964277 0.252296
310 73.312651 0.327682 65.106044 0.080243 85.301393 0.253459
311 72.137293 0.315776 78.253407 0.104220 88.553206 0.251687
312 71.347616 0.313977 81.879547 0.119660 91.029765 0.253174
313 71.271099 0.311746 83.262601 0.129945 93.639275 0.250119
314 72.104380 0.312607 82.117158 0.139685 95.019270 0.250176
315 72.467059 0.317051 80.932481 0.143688 95.528157 0.248439
316 73.460385 0.322902 77.038700 0.141144 94.751094 0.249199
317 74.753138 0.323810 72.360636 0.136078 94.431394 0.246461
318 76.212008 0.329402 66.774437 0.128305 93.580670 0.247307
319 77.428677 0.337326 60.793575 0.117664 92.483413 0.251887
320 78.807004 0.345190 52.140514 0.112676 90.979157 0.258038
321 80.026942 0.352994 45.848966 0.104037 89.823785 0.269408
322 80.727096 0.361804 42.501336 0.100439 88.151687 0.281697
323 81.270214 0.368985 36.856020 0.097023 86.457261 0.294840
324 81.346787 0.376366 36.264728 0.090513 84.626761 0.309787
325 80.946381 0.383144 36.843001 0.087338 83.643272 0.326138
326 80.026631 0.386783 41.781426 0.083091 82.958315 0.339300
327 78.830632 0.391909 49.133509 0.078504 82.912437 0.355099
328 77.155485 0.394680 59.156865 0.077186 83.657742 0.364620
329 75.782514 0.397222 69.510344 0.077020 85.289241 0.374687
330 74.178821 0.395747 83.267994 0.084175 87.091274 0.378409
331 73.243856 0.396432 91.176134 0.096098 90.524966 0.383821
332 71.414670 0.392809 96.272975 0.109664 92.145632 0.377624
333 70.843915 0.389512 99.404675 0.122547 95.381866 0.373085
334 70.737972 0.388126 101.785521 0.138336 97.935315 0.371712
335 70.898288 0.386504 101.162266 0.152760 98.945938 0.365390
336 71.779234 0.385445 98.301496 0.158139 99.859907 0.355544
337 72.707619 0.386283 94.811176 0.158157 99.492229 0.346458
338 73.764643 0.391998 90.300165 0.154137 97.685211 0.338723
339 74.612497 0.401295 83.487834 0.141649 95.639939 0.331983
340 75.370246 0.407855 77.311683 0.135194 93.003942 0.329896
341 75.715928 0.415294 70.957942 0.128853 90.858369 0.330423
342 75.785586 0.421469 68.686549 0.121833 88.219141 0.333275
343 75.464843 0.431657 62.766870 0.105859 86.256236 0.341238
344 74.465433 0.439235 61.512459 0.093282 83.136767 0.352461
345 72.768024 0.448690 58.433539 0.076138 81.801798 0.360922
346 71.573177 0.460222 59.577157 0.057995 80.995327 0.374451
347 70.724531 0.461101 78.389715 0.059204 81.751769 0.383144
348 70.285078 0.463646 91.520340 0.061907 82.237837 0.388748
349 70.204167 0.464132 103.669982 0.076641 84.337634 0.391797
350 70.304191 0.465348 108.372901 0.086873 85.604541 0.393180
351 71.218688 0.468788 109.244973 0.095234 87.944058 0.396612
352 72.118449 0.474828 110.695156 0.100871 88.385892 0.398463
353 73.277609 0.478142 111.504574 0.109323 89.371852 0.398960
354 75.122029 0.477896 108.295486 0.118224 91.695632 0.400392
355 76.090997 0.477597 104.822327 0.125517 93.068167 0.400844
356 76.271192 0.478665 101.383550 0.129740 93.868307 0.400076
357 76.240511 0.479651 97.681310 0.129860 94.274853 0.400003
358 76.150755 0.475504 96.094020 0.139694 95.179811 0.395429
359 75.810980 0.471116 95.354214 0.146657 95.910696 0.391414
360 75.276400 0.465416 92.909308 0.156930 96.265350 0.384262
361 74.606598 0.460769 89.828515 0.167893 96.550313 0.376692
362 74.126487 0.456616 88.194047 0.179599 96.285964 0.370873
363 73.908575 0.455134 86.180323 0.178597 95.198871 0.367050
364 73.866609 0.453202 82.984402 0.179098 94.141036 0.360579
365 74.120498 0.450183 80.806833 0.179093 92.749770 0.357087
366 74.038864 0.451278 78.087518 0.174646 91.195000 0.355399
