2016JD  theta1  r1  theta2  r2 theta3 r3
1 81.877974 0.369148 26.545628 0.141813 102.213040 0.272910
2 81.013640 0.373988 26.436769 0.137823 101.748400 0.276713
3 80.697224 0.381328 24.059731 0.135354 101.241002 0.282168
4 80.421298 0.387353 24.437090 0.132967 100.305769 0.291036
5 79.935040 0.389300 26.929327 0.129076 98.885461 0.289488
6 79.449247 0.390189 30.521055 0.125075 97.439333 0.290915
7 78.522912 0.395493 33.669627 0.122442 97.827177 0.296147
8 78.274204 0.395015 35.131507 0.121143 95.853201 0.296884
9 77.762023 0.396332 38.519186 0.120424 94.493045 0.297338
10 77.004440 0.397103 40.075202 0.118897 93.730314 0.295111
11 76.457955 0.398787 38.541068 0.114922 92.280100 0.289474
12 76.443567 0.397972 37.782959 0.116722 90.893099 0.283511
13 76.254378 0.399386 34.633603 0.114657 88.745015 0.281668
14 76.712190 0.394991 33.673903 0.110598 86.669753 0.280717
15 77.316696 0.393172 33.245325 0.112285 84.041719 0.281253
16 77.123232 0.394916 31.888821 0.106943 81.283737 0.288260
17 77.995158 0.397354 31.256805 0.102269 79.102233 0.301836
18 79.027551 0.395533 32.289998 0.095918 79.148738 0.316381
19 79.576846 0.390129 38.952211 0.094867 79.624544 0.325736
20 80.028000 0.388272 45.476558 0.096067 80.204022 0.341259
21 80.502650 0.383375 56.466406 0.096226 81.276261 0.350604
22 80.486404 0.380601 67.762386 0.106164 82.836700 0.365073
23 80.144665 0.372568 76.112434 0.122908 84.247918 0.370360
24 80.257853 0.367604 82.702864 0.146164 86.772371 0.377888
25 79.737604 0.358292 86.569843 0.171272 89.258816 0.376403
26 79.347757 0.356559 90.483737 0.191289 90.532201 0.384243
27 78.853072 0.353953 95.350060 0.200235 91.135206 0.389138
28 78.681267 0.363399 99.107227 0.201270 91.725414 0.403130
29 78.686025 0.363517 98.608905 0.204942 91.508166 0.398221
30 78.432542 0.363610 98.307549 0.205486 89.908395 0.388684
31 78.938643 0.367255 98.248890 0.198329 88.691129 0.380354
32 78.075454 0.378758 98.679135 0.184409 87.080580 0.380203
33 78.116872 0.394062 97.828958 0.164536 85.620953 0.380556
34 78.191335 0.400439 100.215173 0.150300 84.985256 0.380246
35 78.030391 0.404250 98.718759 0.136310 84.033527 0.381423
36 77.194901 0.406287 101.318972 0.118089 81.764141 0.385095
37 76.304628 0.400406 105.749316 0.119912 81.333057 0.383346
38 75.243741 0.394323 105.773744 0.131245 81.575081 0.380398
39 74.227830 0.391540 106.112544 0.139960 82.140758 0.374938
40 73.203824 0.389782 104.705005 0.150133 83.035247 0.372698
41 72.291300 0.393646 103.864845 0.154247 83.981745 0.375201
42 72.166535 0.399060 101.633971 0.159254 85.194754 0.376318
43 72.319705 0.404225 99.068910 0.161256 86.554231 0.380295
44 72.650423 0.410810 96.928457 0.163061 87.955641 0.385176
45 73.076267 0.423581 94.274157 0.161682 89.188721 0.391808
46 73.995277 0.434709 92.449564 0.163372 91.047079 0.403906
47 75.430574 0.446417 92.966778 0.162973 93.784307 0.423733
48 75.632851 0.451446 92.694335 0.164920 94.429930 0.439293
49 75.385044 0.451717 93.650000 0.171022 94.506263 0.448443
50 75.174535 0.448601 95.388545 0.182383 95.056040 0.458819
51 74.851086 0.447074 97.082061 0.193567 94.877632 0.464525
52 74.128885 0.436304 99.006364 0.207258 94.805578 0.464652
53 73.858800 0.429511 97.739471 0.221692 94.863989 0.456895
54 73.292179 0.424098 96.450305 0.226542 93.848904 0.449690
55 72.767300 0.421716 94.580109 0.225227 92.721401 0.442747
56 71.633205 0.420242 92.346053 0.227068 91.086846 0.426284
57 70.629387 0.417544 88.825318 0.224627 89.044365 0.409717
58 71.235758 0.422476 84.526170 0.216897 87.073637 0.404859
59 71.674292 0.423790 80.187706 0.208792 85.672681 0.393238
60 71.880974 0.425870 76.387094 0.196708 83.675005 0.389579
61 72.304887 0.429150 74.829554 0.180270 82.592658 0.389805
62 72.671121 0.431834 74.816843 0.164277 82.163641 0.392756
63 72.242151 0.437040 73.651203 0.146616 80.980184 0.398719
64 71.812263 0.441817 76.475380 0.129221 80.778006 0.405843
65 70.622768 0.448903 82.082810 0.113981 79.864924 0.415345
66 69.985487 0.449807 85.320944 0.112505 79.507458 0.419755
67 69.394944 0.448895 90.918356 0.112462 80.194929 0.422176
68 69.110229 0.450602 99.469732 0.111228 81.269923 0.424911
69 68.740062 0.450380 102.975655 0.115504 82.796503 0.425384
70 69.007850 0.451219 104.996689 0.118178 84.647261 0.431898
71 68.796502 0.448567 104.441405 0.131020 86.686516 0.429444
72 68.693669 0.445303 104.287354 0.142361 88.272233 0.424772
73 68.928449 0.444030 103.308394 0.150928 89.747356 0.423333
74 69.194501 0.438843 100.316552 0.157605 91.409946 0.415119
75 70.029334 0.428791 96.908024 0.165474 94.128231 0.399367
76 70.535242 0.421084 92.344243 0.174313 96.188696 0.386131
77 70.520276 0.416810 88.955633 0.172961 96.059845 0.373741
78 70.907819 0.409357 87.608697 0.168009 95.483642 0.358507
79 71.036723 0.405203 81.063433 0.164380 94.895869 0.346995
80 71.417615 0.398293 76.203951 0.164740 93.350169 0.330427
81 71.231182 0.393656 70.936735 0.157595 91.393313 0.318139
82 71.183601 0.391687 64.297467 0.143642 88.669042 0.311617
83 71.679901 0.390755 53.998608 0.130924 85.855896 0.307103
84 72.110467 0.385609 50.962051 0.125890 84.905112 0.303741
85 71.191968 0.375380 43.554813 0.136329 80.840954 0.290844
86 69.255727 0.358691 47.882412 0.150424 79.010471 0.271044
87 68.939016 0.351621 45.667672 0.151248 77.245357 0.272825
88 67.815097 0.339828 50.208887 0.158557 76.283322 0.265466
89 65.639779 0.329760 57.943525 0.172956 76.601619 0.243849
90 63.586086 0.327121 64.560500 0.185947 77.835054 0.237692
91 62.671818 0.334142 68.702278 0.196977 77.871037 0.238432
92 60.510195 0.343655 71.217846 0.203388 78.357860 0.235159
93 59.977839 0.355831 73.088451 0.206019 77.849152 0.234073
94 60.111006 0.367004 73.761357 0.201689 76.912363 0.237432
95 60.707372 0.373935 72.952955 0.197633 75.464364 0.231889
96 62.260243 0.384125 71.118920 0.185906 74.387717 0.237276
97 63.492929 0.390939 72.812702 0.166618 73.159818 0.237805
98 65.886586 0.401369 70.380630 0.140669 72.892545 0.250443
99 66.800718 0.404647 64.319054 0.126223 71.834531 0.253413
100 68.125526 0.406610 57.788001 0.114271 71.141685 0.258309
101 69.283657 0.408208 49.894176 0.110253 70.364131 0.261674
102 70.357721 0.407453 42.524909 0.111342 70.884535 0.261752
103 71.225950 0.408544 34.296085 0.112167 69.718715 0.266265
104 72.190351 0.404368 29.697389 0.120085 70.667676 0.265421
105 73.400922 0.399884 24.522917 0.120104 72.066863 0.269253
106 73.624335 0.388693 25.051136 0.115994 73.217254 0.263671
107 73.934677 0.377426 26.479677 0.114050 74.553512 0.261340
108 73.576195 0.362216 32.797958 0.115654 74.760757 0.256239
109 72.633389 0.354083 39.342938 0.112586 75.958066 0.255825
110 71.839693 0.339755 50.347312 0.112163 78.659189 0.252995
111 70.395626 0.331147 61.136459 0.119566 82.114481 0.253360
112 69.126721 0.323915 71.140183 0.129109 84.574208 0.254849
113 67.651379 0.319372 79.360653 0.146119 86.955335 0.254617
114 65.616014 0.325412 84.626252 0.161128 87.964318 0.260805
115 64.621123 0.333466 88.227213 0.182635 89.594628 0.269223
116 64.459657 0.340511 90.904681 0.193014 92.319170 0.274715
117 64.571508 0.350218 92.194235 0.195496 91.611233 0.283164
118 65.219006 0.361974 93.901340 0.199482 91.990788 0.295950
119 66.447537 0.373387 94.454075 0.196626 92.176669 0.303912
120 67.821271 0.382914 95.276510 0.190540 91.460787 0.312413
121 68.853020 0.394134 95.136571 0.175053 89.936438 0.317643
122 69.948874 0.405408 93.845085 0.160083 88.506331 0.328190
123 70.913084 0.414943 93.928573 0.138222 87.441426 0.337403
124 71.967961 0.417237 95.859415 0.120288 86.235913 0.342916
125 72.301810 0.417228 97.151491 0.102676 84.901011 0.347592
126 72.285099 0.418296 102.871333 0.084821 83.553347 0.352208
127 72.335789 0.416948 108.747918 0.070340 81.970389 0.353824
128 72.389699 0.410989 116.605589 0.063208 80.656013 0.353459
129 72.568875 0.402339 124.293166 0.059879 79.669122 0.348727
130 72.771482 0.396493 131.380199 0.056251 79.254310 0.345950
131 73.234106 0.392804 134.117501 0.054059 79.125348 0.343031
132 73.510960 0.386126 135.442995 0.057389 79.495394 0.337538
133 73.621000 0.374000 122.078186 0.068823 80.233602 0.317074
