2017JD  theta1  r1  theta2  r2 theta3 r3
100 87.766482 0.418541 161.928076 0.061265 99.047309 0.375577
101 87.160490 0.423136 160.798619 0.066253 100.012877 0.390536
102 86.673530 0.424439 154.059613 0.078452 102.168204 0.406558
103 85.679708 0.428071 149.256515 0.092787 103.860214 0.425165
104 84.402779 0.430340 144.077076 0.107279 105.580619 0.435876
105 83.355028 0.432078 139.021781 0.124689 107.685141 0.452402
106 82.248213 0.442372 136.823136 0.139302 109.163703 0.473284
107 81.422593 0.453154 133.842113 0.147667 110.172329 0.488135
108 81.235806 0.464580 134.381821 0.150085 110.122352 0.502461
109 81.544952 0.481811 134.502120 0.143423 109.712861 0.518696
110 82.128245 0.501667 136.609533 0.132419 109.326944 0.527804
111 83.588364 0.523196 136.973708 0.113845 108.517759 0.537089
112 84.782494 0.545814 136.265392 0.094859 107.597564 0.544912
113 86.251628 0.566909 142.922983 0.076627 106.567723 0.556060
114 87.741338 0.586198 153.565999 0.059635 105.403456 0.561950
115 88.940070 0.601444 167.369179 0.050259 103.966353 0.570921
116 89.587375 0.602430 179.455718 0.042634 103.006152 0.569066
117 90.673929 0.603093 3.695179 0.042553 102.353882 0.573679
118 91.641792 0.598230 0.690139 0.050021 102.151976 0.574977
119 92.338363 0.588129 172.758188 0.057652 102.561351 0.574709
120 93.095253 0.574021 162.379004 0.066671 103.165656 0.574082
121 93.913139 0.558102 156.298853 0.078968 104.265445 0.574100
122 94.324756 0.541674 149.342593 0.092777 105.484333 0.577529
123 94.281779 0.522494 144.383212 0.104188 106.185875 0.574751
124 93.930295 0.503840 139.237835 0.116860 106.899372 0.571429
125 93.974807 0.488312 137.023787 0.132754 108.093409 0.572432
126 93.660394 0.470911 133.782972 0.149315 109.160156 0.569649
127 93.129825 0.453050 130.522966 0.166813 110.197275 0.560527
128 92.316542 0.435425 128.037650 0.183271 111.108385 0.546411
129 91.279953 0.420759 125.540357 0.198899 111.708791 0.533351
130 90.873016 0.409108 123.275912 0.211898 112.530704 0.516911
131 90.423614 0.397271 120.899775 0.226911 113.518140 0.498787
132 89.677865 0.387879 118.801319 0.241083 113.980798 0.480390
133 88.964936 0.383743 116.952552 0.249458 114.448988 0.464314
134 88.567682 0.381547 115.404002 0.254144 115.069449 0.448638
135 87.753505 0.382339 113.368011 0.259331 115.395465 0.432194
136 86.666120 0.385138 111.055909 0.259360 115.470066 0.418898
137 85.640125 0.392757 108.457171 0.254789 115.191571 0.407403
138 84.771927 0.398500 106.087540 0.247216 114.184100 0.395766
139 84.293252 0.406778 103.676013 0.233387 112.376182 0.388515
140 84.038570 0.415146 102.274595 0.218124 110.208978 0.387726
141 83.725301 0.424092 99.934585 0.196263 107.679625 0.391583
142 83.301093 0.423647 99.639214 0.195558 107.490864 0.390430
143 82.555708 0.414671 98.351132 0.198879 106.303383 0.393787
144 81.920973 0.408410 97.897857 0.190146 104.868755 0.394342
145 81.629145 0.399217 97.830366 0.185719 104.022033 0.395808
146 80.790923 0.384012 100.948033 0.203140 103.835245 0.393419
147 81.001971 0.378081 103.080616 0.203991 104.685407 0.399136
148 80.539798 0.364548 102.862222 0.218221 106.379449 0.386773
149 79.546203 0.359095 103.338311 0.225195 106.284218 0.378122
150 79.256978 0.361965 102.848166 0.223155 106.510721 0.373235
151 78.627852 0.366773 101.836201 0.220511 105.798647 0.364431
152 79.951186 0.369728 99.457879 0.206712 105.500661 0.360293
153 79.961237 0.375022 97.747961 0.194599 103.985543 0.353699
154 80.080071 0.381731 95.949189 0.183750 103.117515 0.350351
155 79.901122 0.385974 93.375704 0.174711 102.653525 0.344891
156 79.360067 0.392754 93.234356 0.165100 100.587930 0.343658
157 78.516276 0.398629 93.175542 0.157504 100.056561 0.344203
158 77.607090 0.403186 93.539331 0.148744 98.834339 0.343815
159 76.209258 0.404935 93.630131 0.140843 97.153983 0.339392
160 75.314586 0.407001 94.828305 0.136866 95.900450 0.338752
161 73.543898 0.409547 95.620856 0.133416 93.422304 0.337829
162 72.645545 0.407375 96.630916 0.130420 92.208255 0.335530
163 71.834890 0.407180 96.090673 0.129262 91.245870 0.334429
164 71.214323 0.409969 96.116528 0.124119 89.379213 0.338863
165 70.771321 0.410285 96.511587 0.121270 87.616656 0.340781
166 71.232646 0.408179 95.328670 0.117181 86.994515 0.344622
167 70.861156 0.409546 94.133571 0.111089 85.981824 0.343723
168 70.749931 0.405476 91.260854 0.113955 85.870533 0.338013
169 69.930240 0.398329 90.035446 0.117190 85.149770 0.323951
170 70.200698 0.396478 91.318682 0.122755 85.858389 0.322683
171 69.737611 0.393515 91.713213 0.128275 86.284819 0.310054
172 69.337828 0.396223 87.595360 0.130135 86.936211 0.300427
173 68.687033 0.397566 83.813360 0.127636 86.883457 0.288996
174 67.739510 0.399400 80.220660 0.125387 87.118237 0.277663
175 68.219614 0.398377 75.450919 0.116924 90.522594 0.268354
176 68.286702 0.400183 73.158834 0.113299 93.251326 0.259732
177 68.982988 0.408028 70.558254 0.106813 95.034298 0.268641
178 69.142223 0.413699 69.168278 0.102046 95.867350 0.271645
179 68.863301 0.424300 70.438223 0.096723 95.346592 0.278569
180 68.363474 0.425303 70.339057 0.094738 94.429629 0.275074
181 68.091227 0.425108 69.272550 0.095755 94.043073 0.271404
182 67.754839 0.425586 67.866695 0.097694 93.263011 0.266458
183 67.296484 0.422852 66.128717 0.097749 90.866149 0.262878
184 67.122934 0.421391 65.085263 0.101479 88.807388 0.259218
185 66.600354 0.421302 62.667824 0.101378 86.075899 0.255509
186 66.424633 0.418810 59.991792 0.103094 83.450630 0.253293
187 66.288764 0.419592 58.234123 0.105172 81.110076 0.253230
188 66.941370 0.417139 55.307682 0.105443 78.839949 0.255255
189 67.612430 0.417021 52.192344 0.102253 75.859710 0.259803
190 68.548671 0.417967 49.925836 0.098326 73.520271 0.267861
191 69.263146 0.418199 49.444881 0.097239 71.888169 0.274764
192 70.365966 0.421705 46.952954 0.095602 70.781212 0.284324
193 71.393045 0.418241 46.218415 0.093693 70.492270 0.288623
194 72.323587 0.416459 49.343959 0.092515 70.872118 0.295848
195 72.598468 0.415816 52.188487 0.089664 71.144427 0.302555
196 72.375721 0.413519 57.942955 0.092579 72.325314 0.303128
197 72.269661 0.412559 63.841188 0.089252 73.981393 0.305862
198 71.265248 0.408169 72.741938 0.099730 75.911955 0.302113
199 70.369741 0.406789 78.905590 0.108314 78.450350 0.300555
